Date,Month,Buying_Discounted_CF,Renting_Discounted_CF,Buying_Cumulative_NPV,Renting_Cumulative_NPV,Buying_Net_CF,Renting_Net_CF
2028-02-29,28,-1481.2583883428906,-1344.1546952658407,-84311.00864607898,-286778.73957067553,-1617.9155019302036,-1468.1629724951492
2028-03-31,29,-1479.0024868684484,-1346.7328152495213,-85790.01113294742,-288125.472385925,-1620.7400445162832,-1475.7945455254612
2028-04-30,30,-1476.745619215305,-1349.3301503266366,-87266.75675216272,-289474.80253625166,-1623.5646786978155,-1483.4814767464295
2028-05-31,31,-1474.4877980095002,-1351.9463833446957,-88741.24455017222,-290826.7489195964,-1626.389385252132,-1491.2237661580539
2028-06-30,32,-1472.229039565028,-1354.5811995525148,-90213.47358973726,-292181.3301191489,-1629.2141489907265,-1499.0214137603346
2028-07-31,33,-1469.9693630608335,-1357.2342865861724,-91683.4429527981,-293538.56440573506,-1632.038957912628,-1506.8744195532715
2028-08-31,34,-1467.7087898928417,-1359.9053344550384,-93151.15174269094,-294898.4697401901,-1634.8638025354467,-1514.7827835368648
2028-09-30,35,-1465.4473431638335,-1362.594035527873,-94616.59908585477,-296261.063775718,-1637.688675366814,-1522.7465057111144
2028-10-31,36,-1463.1850472818812,-1365.300084518998,-96079.78413313665,-297626.36386023695,-1640.5135704867464,-1530.76558607602
2028-11-30,37,-1460.9219276442811,-1368.0231784745374,-97540.70606078093,-298994.38703871146,-1643.3384832176569,-1538.840024631582
2028-12-31,38,-1458.6580103888214,-1370.7630167587301,-98999.36407116975,-300365.15005547024,-1646.1634098636193,-1546.9698213778004
2029-01-31,39,-1456.393322198074,-1373.5193010403111,-100455.75739336782,-301738.6693565105,-1648.988347504353,-1555.154976314675
2029-02-28,40,-1454.1278901454532,-1376.291735278964,-101909.88528351327,-303114.9610917895,-1651.8132938324418,-1563.3954894422059
2029-03-31,41,-1451.8617415741571,-1379.080025711842,-103361.74702508743,-304494.0411175013,-1654.638247024715,-1571.6913607603929
2029-04-30,42,-1449.5949040020153,-1381.8838808401572,-104811.34192908945,-305875.9249983415,-1657.463205640621,-1580.0425902692361
2029-05-31,43,-1447.327405046731,-1384.7030114158417,-106258.66933413618,-307260.6280097573,-1660.2881685419302,-1588.4491779687357
2029-06-30,44,-1445.0592723671891,-1387.5371304282746,-107703.72860650337,-308648.1651401856,-1663.1131348292865,-1596.9111238588916
2029-07-31,45,-1442.7905336174128,-1390.3859530910768,-109146.51914012078,-310038.5510932767,-1665.938103792078,-1605.4284279397039
2029-08-31,46,-1440.5212164104817,-1393.2491968289753,-110587.04035653127,-311431.80029010563,-1668.7630748688248,-1614.0010902111721
2029-09-30,47,-1438.2513482902966,-1396.1265812647353,-112025.29170482157,-312827.9268713704,-1671.5880476158814,-1622.6291106732967
2029-10-31,48,-1435.9809567095217,-1399.017828206157,-113461.2726615311,-314226.94469957653,-1674.413021682709,-1631.3124893260776
2029-11-30,49,-1433.7100690123887,-1401.9226616331418,-114894.98273054349,-315628.8673612097,-1677.237996792334,-1640.0512261695148
