ds,yhat,yhat_lower,yhat_upper
2025-12-31,7.4845449017682055,6.529203709957155,8.472190063698331
2026-01-31,7.541967126187648,6.612336941756559,8.600343014845464
2026-02-28,7.713347068885974,6.702004788317361,8.632146468414165
2026-03-31,7.7719161799951255,6.813598789933739,8.744815768637203
2026-04-30,7.839566036702566,6.909195268415916,8.776290013036485
2026-05-31,7.863696485216498,6.921129189790622,8.897085103722091
2026-06-30,7.823735853565842,6.8741940925645695,8.78462501501074
2026-07-31,7.7712973957838445,6.834159804554698,8.755570169408797
2026-08-31,7.881088471746413,6.958819797430621,8.83192431811878
2026-09-30,8.121293476443391,7.1700072408524065,9.06455489897493
2026-10-31,8.172285901409126,7.25372850135612,9.104892471762993
2026-11-30,8.075250287175066,7.142689851709614,9.012508310832324
2026-12-31,8.20307281217352,7.197347426029891,9.19360461563332
2027-01-31,8.260278460102432,7.361378582314894,9.233115996007852
2027-02-28,8.445732123967268,7.52635830453795,9.47935335103623
2027-03-31,8.50369686456182,7.451994690259112,9.439687110166966
2027-04-30,8.568628787939877,7.637653131777565,9.569704653224552
2027-05-31,8.58832382009848,7.63248762970227,9.531753630717057
2027-06-30,8.542861211074259,7.519768583721917,9.496614965617722
2027-07-31,8.490244498664802,7.599937987476916,9.489062899385123
2027-08-31,8.608410100417672,7.624670694082554,9.571660595556182
2027-09-30,8.858806083856434,7.906255881169316,9.884621998162743
2027-10-31,8.902384524214822,7.889024114463545,9.8846282999417
2027-11-30,8.796897931957682,7.813416021043682,9.821578278977439
2027-12-31,8.921544179290068,7.880171273825674,9.93767481665678
2028-01-31,8.978826862557959,8.01725442440741,9.99227688867897
2028-02-29,9.154736420617231,8.183978832350176,10.108166990436567
2028-03-31,9.213877609482395,8.22112624919871,10.222636545514677
2028-04-30,9.286430681532565,8.240272239248071,10.254527222181894
2028-05-31,9.31930595064918,8.347622132874918,10.32914927267044
2028-06-30,9.290884941010395,8.35344924902306,10.207394617819666
2028-07-31,9.239733272873192,8.184981891096353,10.207310242002315
2028-08-31,9.333145313325057,8.321163741141346,10.315929920553227
2028-09-30,9.55185051586441,8.555668335543714,10.529159382274512
2028-10-31,9.616762941828929,8.618696993227651,10.556725151980219
