Date,index,MedianPrice,RentalPrice,mortgage_rate
2021-09-01,80,133696.21000401452,1104.2669231530774,2.9
2021-10-01,81,133660.99649702097,1104.2669231530774,3.0675
2021-11-01,82,134002.85884984143,1104.2669231530774,3.0675
2021-12-01,83,134578.31869820086,1104.2669231530774,3.098
2022-01-01,84,135997.05364913878,1104.2669231530774,3.4450000000000003
2022-02-01,85,138100.97208285393,1104.2669231530774,3.7625
2022-03-01,86,140796.63163691698,1104.2669231530774,4.172
2022-04-01,87,143121.91039266958,1104.2669231530774,4.9825
2022-05-01,88,144972.6241414074,1104.2669231530774,5.2299999999999995
2022-06-01,89,147054.3644527821,1104.2669231530774,5.522
2022-07-01,90,148783.4613915606,1104.2669231530774,5.4125
2022-08-01,91,149782.87501652804,1104.2669231530774,5.2225
2022-09-01,92,149932.5331675655,1104.2669231530774,6.112
2022-10-01,93,149804.7180476425,1104.2669231530774,6.9
2022-11-01,94,149735.69849604493,1104.2669231530774,6.805
2022-12-01,95,149459.8674493001,1104.2669231530774,6.364
2023-01-01,96,149074.83150222895,1104.2669231530774,6.2725
2023-02-01,97,148676.25269195045,1104.2669231530774,6.2575
2023-03-01,98,148755.97470866112,1104.2669231530774,6.544
2023-04-01,99,149725.87690204577,1104.2669231530774,6.342499999999999
2023-05-01,100,151455.5413179455,1104.2669231530774,6.425
2023-06-01,101,153480.3541704307,1096.3177122047314,6.714
2023-07-01,102,154924.0680475159,1105.1039546270513,6.84
2023-08-01,103,156031.14687159794,1097.221437936185,7.072
2023-09-01,104,157008.42157692704,1118.8227600212942,7.2
2023-10-01,105,158194.1712413336,1129.2807539382864,7.62
2023-11-01,106,159481.755134949,1140.0971278511786,7.442
2023-12-01,107,160319.84754823378,1140.0600243751426,6.815
2024-01-01,108,160653.92050224709,1149.1711455568825,6.6425
2024-02-01,109,160919.42152466418,1168.1045187321604,6.776000000000001
2024-03-01,110,161737.48560545003,1182.228535653085,6.82
2024-04-01,111,163175.46282614785,1187.6817825992482,6.9925
2024-05-01,112,164737.94431328026,1178.7779296663064,7.06
2024-06-01,113,166331.90412936214,1183.7124749184104,6.9175
2024-07-01,114,167438.21137540153,1199.2980217522518,6.8475
2024-08-01,115,168423.43515783295,1194.1413282523788,6.5
2024-09-01,116,169109.41390327146,1179.95075307612,6.18
2024-10-01,117,169944.12334865588,1184.946613044425,6.428
2024-11-01,118,170563.8353398086,1200.1935726733395,6.805
2024-12-01,119,171450.4113768758,1215.5710471002478,6.715
2025-01-01,120,171728.9268183243,1212.8372248290682,6.958
2025-02-01,121,171925.4433875818,1200.2516975584033,6.842499999999999
2025-03-01,122,171673.80359675447,1198.6024011175923,6.65
2025-04-01,123,172257.58772191918,1212.1248511640565,6.725
2025-05-01,124,173556.3845522163,1224.2083745184193,6.816
2025-06-01,125,175473.23273884758,1237.7269576202598,6.8175
2025-07-01,126,177586.90921845296,1234.878163966503,6.720000000000001
2025-08-01,127,179313.11416054997,1256.4336758933075,6.5875
2025-09-01,128,180697.31073356708,1273.231192277165,6.3525
2025-10-01,129,181648.14913979016,1281.2878787878788,6.254
