Date,Month,Buying_Wealth,Renting_Wealth,Wealth_Difference,Buying_Equity,Buying_CumulativeCosts,Renting_InvestmentValue,Renting_CumulativeRent
2025-11-30,1,-6633.479454614455,250131.78066267504,256765.2601172895,36645.268813401024,43278.74826801548,251413.53634685132,1281.7556841762982
2025-12-31,2,-6904.569880173323,250268.2803319,257172.8502120733,37671.972956699086,44576.54283687241,252835.0650337181,2566.784701818102
2026-01-31,3,-7162.2095094922915,250402.62603955402,257564.83554904631,38713.539832786046,45875.74934227834,254264.63125045283,3862.0052108988266
2026-02-28,4,-7407.028203672882,250532.28172720212,257939.309930875,39769.36076911172,47176.3889727846,255702.2804424179,5169.998715215758
2026-03-31,5,-7641.39655781586,250661.47325007943,258302.8698078953,40837.08266666447,48478.47922448033,257148.0583119304,6486.585061850964
2026-04-30,6,-7867.570000355845,250795.58064957056,258663.1506499264,41914.464075522614,49782.03407587846,258602.010819715,7806.430170144463
2026-05-31,7,-8087.408154668679,250930.16227747573,259017.5704321444,42999.65644876403,51087.06460343271,260064.18418636502,9134.0219088893
2026-06-30,8,-8302.39557204659,251068.37615100178,259370.77172304835,44091.18399344105,52393.57956548764,261534.62489381168,10466.248742809912
2026-07-31,9,-8513.707696542406,251206.75812693904,259720.46582348144,45187.87818709531,53701.585883637716,263013.37968680175,11806.621559862704
2026-08-31,10,-8722.273125164647,251350.1381374396,260072.41126260423,46288.81590198283,55011.08902714748,264500.4955743838,13150.357436944223
2026-09-30,11,-8928.824875130595,251497.53590085576,260426.36077598634,47393.26844239948,56322.093317530074,265996.0198314021,14498.483930546352
2026-10-31,12,-9133.941315865333,251647.92955151424,260781.8708673796,48500.66085351075,57634.602169376085,267500.0,15852.070448485762
2026-11-30,13,-9338.078597484418,251800.0810827259,261138.15968021032,49610.53968319134,58948.61828067576,269012.4838911309,17212.402808404982
2026-12-31,14,-9541.596291381975,251953.98321758368,261495.57950896566,50722.54749182443,60264.143783206404,270533.51958607836,18579.53636849467
2027-01-31,15,-9744.777653362362,252109.62895103908,261854.40660440145,51836.402707997884,61581.180361360246,272063.15543798456,19953.526486945484
2027-02-28,16,-9947.845634970428,252267.01155143903,262214.85718640947,52951.88371106432,62899.72934603475,273601.4400733871,21334.428521948077
2027-03-31,17,-10150.975534734163,252426.12456207242,262577.1000968066,54068.81625408458,64219.791788818744,275148.42239376553,22722.297831693108
2027-04-30,18,-10354.304994363833,252586.96180272382,262941.2667970876,55187.06352624568,65541.36852060951,276704.15157709504,24117.189774371232
2027-05-31,19,-10557.941897082957,252749.51737123742,263307.45926832035,56306.5183008452,66864.46019792816,278268.6770794105,25519.159708173105
2027-06-30,20,-10761.970608354706,252913.7856450891,263675.75625344383,57427.09673116036,68189.06733951507,279842.0486363785,26928.262991289383
2027-07-31,21,-10966.456906875872,253079.76128296717,264046.21818984306,58548.73344836937,69515.19035524524,281424.3162648779,28344.554981910725
2027-08-31,22,-11171.451880704612,253247.43922636285,264418.89110706747,59671.3776882707,70842.82956897531,283015.53026459063,29768.091038227783
2027-09-30,23,-11376.995005704084,253416.81470116903,264793.80970687314,60794.99023089171,72171.98523659579,284615.74121960026,31198.926518431217
2027-10-31,24,-11583.11657790489,253587.88321928825,265170.99979719316,61919.54098238985,73502.65756029474,286224.99999999994,32637.11678071168
2027-11-30,25,-11789.839635375974,253760.64058025024,265550.4802156262,63045.007064452075,74834.84669982805,287843.3577635101,34082.71718325983
2027-12-31,26,-11997.181476738246,253935.08287283752,265932.26434957574,64171.37130468621,76168.55278142446,289470.86595710384,35535.783084266324
2028-01-31,27,-12205.154860971059,254111.2064767216,266316.36133769265,65298.62104385067,77503.77590482173,291107.5763186434,36996.36984192182
2028-02-29,28,-12413.768955397201,254289.0080641072,266702.7770195044,66426.74719342898,78840.51614882618,292753.5408785242,38464.53281441697
2028-03-31,29,-12623.030084694241,254468.48460138665,267091.51468608086,67555.7434910112,80178.77357570545,294408.8119613291,39940.32735994243
2028-04-30,30,-12832.94232269036,254649.63335080282,267482.5756734932,68685.605911969,81518.54823465936,296073.4421874917,41423.808836688855
2028-05-31,31,-13043.507959937997,254832.45187212236,267875.9598320604,69816.33220462446,82859.84016456245,297747.4844749693,42915.032602846906
2028-06-30,32,-13254.727873135242,255016.9380243178,268271.66589745303,70947.9215229956,84202.64939613084,299430.992040925,44414.05401660724
2028-07-31,33,-13466.601816993643,255203.08996725886,268669.6917842525,72080.37413664078,85546.97595363442,301124.01840341935,45920.92843616051
2028-08-31,34,-13679.12865482799,255390.90616341465,269070.03481824265,73213.6912014217,86892.81985624968,302826.617383112,47435.711219697376
2028-09-30,35,-13892.306540727994,255580.38537956378,269472.69192029175,74347.87457840066,88240.18111912865,304538.8431049723,48958.45772540849
2028-10-31,36,-14106.133063473157,255771.52668851544,269877.6597519886,75482.92669077031,89589.05975424347,306260.74999999994,50489.22331148451
2028-11-30,37,-14320.60536021924,255964.32947083964,270284.9348310589,76618.85041083451,90939.45577105375,307992.39280695573,52028.06333611609
2028-12-31,38,-14535.72020630032,256158.79341660722,270694.5136229076,77755.64897073354,92291.36917703386,309733.8265741011,53575.03315749389
2029-01-31,39,-14751.474086158501,256354.91852713987,271106.3926132984,78893.32589193108,93644.79997808958,311485.1066609484,55130.188133808566
2029-02-28,40,-14967.863249362053,256552.7051167701,271520.56836613215,80031.88492952517,94999.74817888722,313246.2887400209,56693.58362325077
2029-03-31,41,-15184.883754841285,256752.15381461094,271937.0375694522,81171.33002827258,96356.21378311387,315017.4287986221,58265.274984011165
2029-04-30,42,-15402.531505814419,256953.26556633567,272355.7970721501,82311.66528786835,97714.19679368277,316798.5831406161,59845.3175742804
2029-05-31,43,-15620.802277357274,257156.04163596802,272776.8439133253,83452.89493553853,99073.6972128958,318589.8083882172,61433.76675224914
2029-06-30,44,-15839.691738160749,257360.4836076817,273200.17534584244,84595.023304411,100434.71504257176,320391.16148378974,63030.67787610803
2029-07-31,45,-16059.195467695143,257566.59338761098,273625.7888553061,85738.05481645258,101797.25028414773,322202.6996916587,64636.10630404773
2029-08-31,46,-16279.308969745878,257774.3732056709,274053.6821754168,86881.99396901333,103161.30293875921,324024.4805999298,66250.1073942589
2029-09-30,47,-16500.027683081047,257983.8256173881,274483.8533004691,88026.84532422235,104526.8730073034,325856.5621223203,67872.7365049322
2029-10-31,48,-16721.346989853584,258194.95350574167,274916.30049559526,89172.6135006356,105893.96049048919,327699.00249999994,69504.04899425828
2029-11-30,49,-16943.262222212637,258407.76008301484,275351.02230522747,90319.30316666409,107262.56538887673,329551.86030344263,71144.10022042779
2029-12-31,50,-17165.76866750003,258622.2488926568,275788.0175601568,91466.91903540856,108632.68770290859,331415.1944342882,72792.9455416314
2030-01-31,51,-17388.861572328708,258838.42381115508,276227.2853834838,92615.46586060576,110004.32743293447,333289.06412721484,74450.64031605975
2030-02-28,52,-17612.536145777573,259056.2890499188,276668.8251956964,93764.9484334531,111377.48457923067,335173.5289518223,76117.23990190352
2030-03-31,53,-17836.787561887948,259275.84915717228,277112.63671906025,94915.37158012757,112752.15914201552,337068.64881452563,77792.79965735335
2030-04-30,54,-18061.610961608298,259497.1090198593,277558.7199814676,96066.74015985322,114128.35112146151,338974.4839604592,79477.3749405999
2030-05-31,55,-18287.001454302488,259720.07386555852,278007.075319861,97219.05906340247,115506.06051770496,340891.09497539233,81171.02110983382
2030-06-30,56,-18512.954118913476,259944.74926440918,278457.7033833227,98372.33321194007,116885.28733085355,342818.54278765497,82873.79352324577
2030-07-31,57,-18739.464004854235,260171.1411310484,278910.60513590265,99526.56755613815,118266.03156099239,344756.8886700748,84585.7475390264
2030-08-31,58,-18966.526132683124,260399.25572655853,279365.78185924166,100681.76707550557,119648.2932081887,346706.1942419249,86306.93851536638
2030-09-30,59,-19194.135494609,260629.09966042632,279823.23515503533,101837.93677788661,121032.07227249561,348666.5214708827,88037.42181045636
