Date,MedianPrice
2015-01-01,81424.25291823538
2015-02-01,81721.73735811925
2015-03-01,82012.18826988799
2015-04-01,82529.95651797405
2015-05-01,82864.4536643927
2015-06-01,83051.54826453484
2015-07-01,83138.31667675255
2015-08-01,83290.19242623326
2015-09-01,83426.3550920515
2015-10-01,83828.05458605697
2015-11-01,84144.25784053157
2015-12-01,84512.51441017374
2016-01-01,84685.19638911336
2016-02-01,84814.0114070786
2016-03-01,84730.36641633739
2016-04-01,84586.91908770202
2016-05-01,84582.52315884786
2016-06-01,84877.58037027513
2016-07-01,85265.39317185078
2016-08-01,85758.0834716416
2016-09-01,86229.79314929778
2016-10-01,86758.36031910892
2016-11-01,87257.31670010097
2016-12-01,87817.95592516648
2017-01-01,88226.8505148843
2017-02-01,88552.24715607455
2017-03-01,88661.9575264526
2017-04-01,88853.88785615972
2017-05-01,89040.7386634802
2017-06-01,89230.03197732668
2017-07-01,89729.95694512631
2017-08-01,90510.6826196573
2017-09-01,91385.9009914482
2017-10-01,92053.9898007899
2017-11-01,92683.05897770192
2017-12-01,93358.37084643512
2018-01-01,94156.22660050196
2018-02-01,94632.98621356236
2018-03-01,95254.78078096636
2018-04-01,95759.90595281648
2018-05-01,96453.80353879737
2018-06-01,97266.771480831
2018-07-01,98342.07913679206
2018-08-01,99429.13326088357
2018-09-01,100246.99094847275
2018-10-01,100421.40430382417
2018-11-01,100444.93366117153
2018-12-01,100293.68049552194
2019-01-01,100321.23583535552
2019-02-01,100478.03318848697
2019-03-01,100970.48864676802
2019-04-01,101606.37517156288
2019-05-01,102256.83884320308
2019-06-01,102915.49678647424
2019-07-01,103597.909539449
2019-08-01,104138.53869160992
2019-09-01,104550.66344008938
2019-10-01,104990.33576053014
2019-11-01,105645.23266793492
2019-12-01,106284.75108751988
2020-01-01,107299.08036425024
2020-02-01,108256.4215025581
2020-03-01,109106.68452444034
2020-04-01,109565.63211256216
2020-05-01,109858.17503132149
2020-06-01,110314.55524499358
2020-07-01,110840.00110968988
2020-08-01,111715.64951842156
2020-09-01,113096.12086003368
2020-10-01,115089.06097797438
2020-11-01,117683.69187528898
2020-12-01,120215.24828143508
2021-01-01,122140.39428062028
2021-02-01,123946.546239733
2021-03-01,125688.21265713438
2021-04-01,127510.34214514018
2021-05-01,129380.84309744324
2021-06-01,131458.42840623396
2021-07-01,133171.93482090582
2021-08-01,133933.46443220068
2021-09-01,133696.21000401452
2021-10-01,133660.99649702097
2021-11-01,134002.85884984143
2021-12-01,134578.31869820086
2022-01-01,135997.05364913878
2022-02-01,138100.97208285393
2022-03-01,140796.63163691698
2022-04-01,143121.91039266958
2022-05-01,144972.6241414074
2022-06-01,147054.3644527821
2022-07-01,148783.4613915606
2022-08-01,149782.87501652804
2022-09-01,149932.5331675655
2022-10-01,149804.7180476425
2022-11-01,149735.69849604493
2022-12-01,149459.8674493001
2023-01-01,149074.83150222895
2023-02-01,148676.25269195045
2023-03-01,148755.97470866112
2023-04-01,149725.87690204577
2023-05-01,151455.5413179455
2023-06-01,153480.3541704307
2023-07-01,154924.0680475159
2023-08-01,156031.14687159794
2023-09-01,157008.42157692704
2023-10-01,158194.1712413336
2023-11-01,159481.755134949
2023-12-01,160319.84754823378
2024-01-01,160653.92050224709
2024-02-01,160919.42152466418
2024-03-01,161737.48560545003
2024-04-01,163175.46282614785
2024-05-01,164737.94431328026
2024-06-01,166331.90412936214
2024-07-01,167438.21137540153
2024-08-01,168423.43515783295
2024-09-01,169109.41390327146
2024-10-01,169944.12334865588
2024-11-01,170563.8353398086
2024-12-01,171450.4113768758
2025-01-01,171728.9268183243
2025-02-01,171925.4433875818
2025-03-01,171673.80359675447
2025-04-01,172257.58772191918
2025-05-01,173556.3845522163
2025-06-01,175473.23273884758
2025-07-01,177586.90921845296
2025-08-01,179313.11416054997
2025-09-01,180697.31073356708
2025-10-01,181648.14913979016
