Date,forecast,lower,upper
2025-11-30,1281.7556841762982,1272.6764807938212,1290.8348875587753
2025-12-31,1285.0290176418036,1271.4054452234263,1298.652590060181
2026-01-31,1295.220509080725,1277.5616938539604,1312.8793243074895
2026-02-28,1307.9935043169314,1286.4655592055726,1329.5214494282902
2026-03-31,1316.5863466352057,1291.2331988506278,1341.9394944197836
2026-04-30,1319.8451082934992,1290.6535481857186,1349.0366684012797
2026-05-31,1327.5917387448385,1294.5180023631947,1360.6654751264823
2026-06-30,1332.226833920612,1295.2095264355746,1369.2441414056495
2026-07-31,1340.3728170527916,1299.3399203986385,1381.4057137069447
2026-08-31,1343.7358770815194,1298.6088443614913,1388.8629098015476
2026-09-30,1348.126493602129,1298.8227730832841,1397.4302141209737
2026-10-31,1353.5865179394095,1300.0211717425054,1407.1518641363136
2026-11-30,1360.332359919221,1304.00018186655,1416.664537971892
2026-12-31,1367.1335600896891,1308.0039875705068,1426.2631326088715
2027-01-31,1373.9901184508135,1312.0321186385763,1435.9481182630507
2027-02-28,1380.9020350025942,1316.084231055204,1445.7198389499843
2027-03-31,1387.869309745031,1320.1600822284117,1455.5785372616501
2027-04-30,1394.891942678124,1324.2595115374154,1465.5243738188326
2027-05-31,1401.9699338018734,1328.3824249194558,1475.557442684291
2027-06-30,1409.103283116279,1332.5287825562048,1485.6777836763533
2027-07-31,1416.291990621341,1336.6985889634745,1495.8853922792075
2027-08-31,1423.536056317059,1340.8918849619931,1506.180227672125
2027-09-30,1430.8354802034335,1345.1087411331837,1516.5622192736832
2027-10-31,1438.1902622804641,1349.349252456517,1527.0312721044113
2027-11-30,1445.6004025481511,1353.6135338937925,1537.5872712025098
2027-12-31,1453.0659010064942,1357.9017167373377,1548.2300852756507
2028-01-31,1460.5867576554936,1362.21394557824,1558.959569732747
2028-02-29,1468.1629724951492,1366.5503757806625,1569.775569209636
2028-03-31,1475.7945455254612,1370.9111713713773,1580.677919679545
2028-04-30,1483.4814767464295,1375.2965032716015,1591.6664502212575
2028-05-31,1491.2237661580539,1379.7065478122727,1602.740984503835
2028-06-30,1499.0214137603346,1384.141485484989,1613.90134203568
2028-07-31,1506.8744195532715,1388.601499889633,1625.14733921691
2028-08-31,1514.7827835368648,1393.0867768467176,1636.478790227012
2028-09-30,1522.7465057111144,1397.5975036481425,1647.8955077740864
2028-10-31,1530.76558607602,1402.1338684245854,1659.3973037274548
2028-11-30,1538.840024631582,1406.696059611461,1670.9839896517033
2028-12-31,1546.9698213778004,1411.2842654983765,1682.6553772572242
2029-01-31,1555.154976314675,1415.8986738494907,1694.4112787798592
2029-02-28,1563.3954894422059,1420.5394715841976,1706.2515073002141
2029-03-31,1571.6913607603929,1425.2068445092375,1718.1758770115482
2029-04-30,1580.0425902692361,1429.9009770947205,1730.1842034437518
2029-05-31,1588.4491779687357,1434.6220522877004,1742.276303649771
2029-06-30,1596.9111238588916,1439.3702513579024,1754.451996359881
2029-07-31,1605.4284279397039,1444.1457537710055,1766.7111021084022
2029-08-31,1614.0010902111721,1448.9487370855704,1779.0534433367739
2029-09-30,1622.6291106732967,1453.7793768702577,1791.4788444763358
2029-10-31,1631.3124893260776,1458.6378466384738,1803.9871320136815
2029-11-30,1640.0512261695148,1463.5243177979848,1816.5781345410448
2029-12-31,1648.8453212036084,1468.4389596133847,1829.251682793832
2030-01-31,1657.694774428358,1473.3819391795987,1842.0076096771172
2030-02-28,1666.5995858437639,1478.3534214048555,1854.8457502826723
2030-03-31,1675.559755449826,1483.3535690017723,1867.7659418978799
2030-04-30,1684.5752832465446,1488.3825424853856,1880.7680240077036
2030-05-31,1693.6461692339194,1493.4405001771133,1893.8518382907255
2030-06-30,1702.7724134119503,1498.5275982137753,1907.0172286101254
2030-07-31,1711.9540157806375,1503.643990560909,1920.264041000366
2030-08-31,1721.190976339981,1508.789829029723,1933.592123650239
2030-09-30,1730.4832950899809,1513.9652632971176,1947.001326882844
2030-10-31,1739.830972030637,1519.170440928274,1960.491503133
2030-11-30,1749.2340071619492,1524.4055074013822,1974.0625069225161
2030-12-31,1758.6924004839177,1529.6706061341329,1987.7141948337025
2031-01-31,1768.2061519965425,1534.9658785116462,2001.4464254814388
2031-02-28,1777.7752616998237,1540.2914639155574,2015.25905948409
2031-03-31,1787.399729593761,1545.6474997540117,2029.1519594335105
2031-04-30,1797.0795556783546,1551.0341214923571,2043.124989864352
2031-05-31,1806.8147399536044,1556.451462684349,2057.17801722286
2031-06-30,1816.6052824195106,1561.8996550037075,2071.3109098353134
2031-07-31,1826.451183076073,1567.3788282758896,2085.5235378762563
2031-08-31,1836.3524419232917,1572.8891105099556,2099.815773336628
2031-09-30,1846.3090589611666,1578.430627930427,2114.187489991906
2031-10-31,1856.3210341896977,1584.0035050090507,2128.6385633703444
2031-11-30,1866.3883676088851,1589.607864496387,2143.168870721383
