RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31
102001,0,United States,country,,1158.7839884580467,1163.8325112196512,1171.2280280933167,1175.3832964458352,1179.722988020113,1183.292136764811,1188.3539128110474,1193.5612966202589,1198.7656036455103,1204.3437182233638,1209.3920335295372,1213.4102169237906,1216.5521545756396,1219.4846913108972,1221.0406282018687,1224.792858049036,1228.7451130446839,1234.0436556603556,1237.5107315895923,1241.3942686447388,1245.8066111351627,1249.7804877665126,1253.10733273195,1255.8099525067428,1259.362732871839,1263.0911552120976,1268.045582856243,1271.8424903944406,1276.1098585602485,1278.5984575240084,1281.0173758380963,1282.482314918146,1285.398726394207,1288.2145078678698,1292.0648966756162,1296.44540005132,1300.748643893329,1305.4352172810748,1308.8769093073788,1312.9268314229407,1315.7074427099458,1319.4972775595656,1323.6918988722653,1328.4908021025155,1331.933098616371,1336.2005963813772,1340.8777559424802,1345.0668160761738,1348.7739799808028,1351.4218102170378,1355.3154852738692,1358.96381154838,1363.339461542982,1367.5527007599107,1371.8228142150876,1375.990478793081,1380.3738751282997,1384.2464745842844,1387.4579972693782,1390.9536815083234,1394.7539863296345,1399.1750426594217,1398.8933128505034,1391.55866035761,1379.9796844092416,1369.6333835341081,1364.6295552106046,1359.71639896031,1355.7073255176501,1354.8386561419138,1356.5881254607007,1361.3070539767239,1369.689488173925,1379.558767012939,1390.9932435687206,1406.5111126493705,1427.127045634547,1451.0118277634554,1475.5174129169045,1502.4031980294953,1529.2123813775122,1551.4199015658185,1569.4456207466428,1584.5896358592472,1596.143003391551,1606.3915993980252,1615.0985759597418,1628.486672599606,1642.2682079120818,1656.36116817614,1666.5075208234323,1672.2365695387266,1675.441856017915,1676.8040025692908,1679.0517725221712,1681.5237308483502,1684.6626282794082,1688.0640425468491,1694.5107402191006,1697.9453703884858,1701.0234323562756,1699.9402947649219,1701.130653080801,1702.7610893165588,1704.5822701958357,1708.0883182183393,1710.8107175502164,1714.1431711736034,1717.086101627767,1720.620119613183,1723.2064008040795,1726.5278725303301,1730.1930823427354,1734.612097605958,1737.9586554839345,1740.4002814074342,1743.4992888951347,1746.632080984301,1751.2423724101434,1755.2587899138339,1759.3509582633797,1762.5860585960227,1764.8578396192318,1766.4946539741568,1767.438485064978,1769.352649922463,1771.5038563772832,1774.6253037617735,1777.3145505189732,1779.3033967835406
394913,1,"New York, NY",msa,NY,2264.1113143165403,2278.386759244414,2291.1668546511232,2302.839541927394,2309.751952146793,2315.3695181753524,2319.662633014632,2326.1703802362645,2333.2346262275564,2341.9307746933096,2346.1321530660216,2349.8879858196233,2352.5245550480977,2356.6002299823076,2360.0154794487144,2361.6219066876142,2363.7767164097736,2366.670921342731,2372.4805249876135,2376.807697270823,2382.749285840913,2387.728325537548,2396.0480504820366,2399.0551756064283,2400.3298315347633,2399.2661000850726,2400.529427488627,2402.627306091718,2407.430493929695,2410.788828428096,2414.123108917472,2414.5248580348525,2414.1515376054235,2411.8568497042725,2412.1581662014187,2416.4193942698826,2422.805100352724,2428.0099413362886,2433.8112141164925,2441.133588391446,2446.747381294114,2450.6879107742475,2454.810949839222,2461.253044671852,2467.88574062425,2474.0620684772935,2480.760545471243,2486.995414782119,2493.7526264069456,2500.6866469275064,2506.948940313013,2512.327970299477,2518.0527757919112,2525.9347783585754,2533.495773256011,2541.2065496550267,2549.131946306304,2558.789259325772,2566.5806776458267,2574.2094907476453,2581.1162067377427,2589.3054567113168,,,,,,,,2326.822877042003,2311.5245984554367,2310.842737100266,2314.6853228236437,2326.0421317860814,2337.9662543333734,2358.360939438113,2388.8535057676395,2428.655732405734,2477.2021650450697,2535.927504713744,2596.7466583931537,2650.362432872902,2699.3763664479206,2737.9996216720624,2771.669876018487,2796.981833122934,2823.9290065718737,2850.7143277200194,2881.759306421436,2914.331338472326,2944.515133092102,2967.2183389509605,2981.760828905109,2990.0297457698402,2992.2432339577767,2995.3693807156665,3000.21204347226,3007.844003959108,3018.745393230411,3034.626844800689,3049.5073041848955,3058.7067842225492,3063.8213968093205,3070.22690528668,3081.4133160872775,3092.4806948228666,3098.7230863621344,3106.744163649006,3116.984417589218,3129.8267408257693,3141.7828720348757,3152.913894840671,3164.970247814228,3172.957558718043,3174.7459058833433,3176.401286441397,3182.5290852393005,3195.162293992097,3212.6982280652,3229.938612099665,3245.1164521120195,3258.020541740847,3269.2254869032895,3278.0784129382755,3285.4582441126895,3298.4032960074037,3318.815110685398,3340.3023666730937,3357.9344444619574,3372.411184724939
753899,2,"Los Angeles, CA",msa,CA,1671.1768153959738,1680.5851697121955,1693.2213005707665,1708.8790309984938,1722.5291083833338,1733.48797736199,1741.0932389299228,1752.9910924031592,1765.614513704858,1776.0455756503798,1789.5370812991318,1801.0555913031355,1814.2430517887158,1822.624126067418,1829.10344588585,1835.4394301076122,1842.9565720530672,1853.178879060506,1865.2150529844578,1873.8573901492653,1884.7541488664292,1896.7500495882327,1909.927979661977,1921.6710907248641,1933.3913351734864,1944.648582261904,1961.1064238309818,1972.7342780957786,1982.9045994798282,1989.8619911086284,1997.4225865307303,2003.8113515581585,2009.8591363394655,2014.9200778612174,2022.396455627768,2030.3528564786156,2039.8830602649703,2051.2156520677495,2055.517073058637,2061.4344650499293,2066.566543860633,2075.9299640131844,2084.874772084948,2095.1631865710256,2102.5304432737216,2109.850669004409,2113.2868505305855,2119.791261416617,2123.7571165449854,2130.255018241339,2136.65065296815,2143.95034691778,2152.0647181655827,2157.6032920506036,2162.452660678667,2167.052566321791,2173.1525786538195,2179.251109524983,2186.458379614556,2191.0882371781818,2196.527687029604,2199.0162762135933,2189.5913959107597,2175.863329242663,2161.9655815852657,2145.3374620718128,2132.7464101034548,2119.014481474045,2112.340877988692,2114.1058188720685,2118.894218873424,2124.112766999874,2132.3447532907066,2142.841494137625,2154.4770873204234,2167.902040761009,2187.2127507488576,2218.350635405368,2256.96639062774,2302.230246171742,2341.4281720862064,2372.0462392717263,2394.2846817508034,2418.19924905802,2438.790793037601,2461.3729753077932,2480.7206993424393,2507.780715363289,2530.2653997309344,2547.331086408149,2554.9867980613144,2559.173224884376,2561.153176054999,2559.8702497761956,2563.2981155813136,2564.4247482898804,2564.6797048023404,2564.318786233787,2569.956638351148,2575.547451355316,2577.6751635857468,2576.928466321134,2579.86493196711,2582.101083414446,2584.3730322403635,2587.756072700358,2587.5426013827914,2589.7588801254547,2591.989097361738,2594.719016756612,2597.562855286206,2599.9834176536183,2605.9457752945286,2610.805008652096,2616.9590031451135,2619.358956225671,2624.483946992737,2628.593400747609,2637.29207313816,2644.06371319612,2651.0970180896443,2656.867508313207,2659.68412851425,2660.6949127828325,2660.9797400189696,2663.835613198333,2665.2296750429127,2669.8915825991967,2672.608703775994,2675.9256461358004
394463,3,"Chicago, IL",msa,IL,1312.9354310831127,1313.9142702642969,1319.733260620574,1322.0679556721975,1326.6477349065922,1329.5602019912433,1331.9625247582126,1335.8911165803083,1339.241272103072,1344.9639263740232,1349.591915157715,1354.1997907482814,1359.687227911529,1362.1016810540493,1365.228539773882,1364.7908292314746,1367.1233981295197,1370.239946279395,1375.8069184885087,1382.2772361790348,1384.857530697664,1388.4044438502442,1387.1904228117548,1387.4184625047594,1385.6729856933453,1391.5018720408966,1398.10190347457,1404.3725726983944,1408.116959962762,1409.0799763534797,1409.7251699528438,1407.9424707728535,1412.1659920453374,1414.3214597179417,1418.697310772791,1420.0465652790626,1423.7613057733718,1426.454680903228,1428.5663201915888,1429.2544959294341,1431.946506455577,1436.3779128709903,1440.8934084025873,1443.6540617624592,1443.1634993350513,1442.5499240409883,1445.5672280999243,1454.086461214116,1458.4227500136085,1460.9824545734652,1462.7801617611308,1466.717070925569,1469.7642922419175,1472.7085136391784,1475.3340214494697,1480.3318192828563,1485.759309211324,1492.0735057232346,1495.517761476373,1495.8921486570712,1498.8043618251818,1502.1800006448718,1505.8854463086607,1494.6709313716951,1482.129380952135,1470.8923045947045,1465.7276339621412,1461.1923849116288,1455.9177198892912,1447.8124316844196,1441.895091260323,1439.8621802881644,1439.9303233323471,1444.7173841721303,1451.8545078900913,1468.0423431039276,1484.848529581505,1503.3973474859033,1518.3262843304399,1533.2208399305866,1548.2825279407214,1561.4733524144442,1575.079969759633,1587.9570239033108,1600.906605537257,1609.452552349405,1618.09956709629,1628.756491926123,1641.4157191205622,1652.276102232796,1663.727152962012,1672.8611225434388,1682.5806824813506,1692.8146368610953,1701.6883544107404,1709.732853972827,1715.7087402317245,1723.7939532027087,1732.0272057911022,1738.0591294177616,1745.4731091660053,1751.6941836300693,1759.2688557111821,1767.887977194987,1774.3019022106691,1780.4700521674044,1784.9395825541553,1791.5013347360195,1799.6492132544636,1806.4868697196184,1812.7804739466312,1818.8589424089996,1824.4721049624395,1830.9179753350652,1836.600874252716,1842.8831353246137,1850.8677243712557,1861.6111577555653,1871.7509658630615,1880.6331058674712,1889.1753769132592,1898.419008674978,1907.8778272163354,1917.8347811469166,1927.0508319938285,1936.6672397313334,1946.3290959037467,1955.6006354335846,1964.607449263719,1971.5549761933844
394514,4,"Dallas, TX",msa,TX,1040.141325777676,1036.5357514628881,1039.6031213405024,1052.2156369404615,1058.2066098469977,1068.395462356345,1070.3875417843878,1074.1694822864292,1076.7230749463504,1079.562039524462,1086.752163457805,1100.7374479709918,1105.8510184641452,1110.8389836886051,1115.495747206509,1124.6600215312221,1128.6819851258867,1132.7191392000436,1135.4289341607173,1143.3226252249938,1149.9579953229234,1163.8923429942638,1168.477369063737,1172.3883086488506,1176.1516147881991,1179.983364642352,1189.382035851204,1190.780606913487,1201.7012666523933,1202.6650792565868,1205.4854312672107,1204.5491927894195,1206.6065997911874,1203.9818309102254,1208.2824385415981,1208.1412808203445,1216.5265101279867,1221.6537368103604,1222.325248148169,1221.8862891683189,1221.551125056302,1226.5253668948524,1231.723392993876,1234.1500998463132,1233.7750119080572,1239.1243655741373,1243.1343883517234,1250.3758474694705,1249.7159001856458,1250.349353555691,1252.6540150328608,1258.323700354045,1260.3552028242875,1262.7888883148178,1264.4520118793118,1268.6035394404018,1273.5380011399352,1274.5280034508592,1274.8722894701627,1274.5290502741284,1276.187428467953,1278.1622720902728,1279.5463344921093,1274.3662100551921,1264.5458852865777,1253.337873320349,1246.6821275466998,1244.2773705827512,1246.3480493048153,1250.9874917710256,1255.9561827923283,1263.4648729734904,1272.0321043233885,1281.955146248201,1290.1003507135763,1304.8406935945995,1323.9035508268607,1348.3011922379656,1374.032944486843,1402.2254410654396,1428.082322487388,1449.4151819833728,1469.0161166169325,1486.9198976393104,1501.0958394420152,1511.3524052785995,1520.2897817081873,1534.4223049084133,1549.7727325154626,1567.0421717292886,1577.0078973630789,1578.9605909482252,1576.5774518097658,1569.6593758056908,1565.6711432007194,1561.5250657138397,1562.7074796754187,1563.3218616167335,1568.455589086411,1565.2040094534125,1562.8767115739656,1554.8472412402632,1552.733484352457,1549.4051966577479,1547.2167373242562,1546.82922340477,1545.6212425046579,1543.0602261286165,1540.1748317095357,1535.6292767859957,1530.7185665508264,1526.2594036467065,1525.024183799581,1524.4454328925024,1523.455196709833,1522.084041121783,1520.5424711719925,1521.5064266770885,1522.0099311727636,1523.205787202317,1522.3787798182775,1523.2199474642637,1522.1090289854662,1522.8682138439403,1520.1493794670525,1518.7710511222037,1516.1421816289226,1515.5009223806157,1515.0628175440597,1512.591988429693
394692,5,"Houston, TX",msa,TX,1128.1090371932169,1138.5349516389124,1136.3953315440037,1133.8362566640556,1132.9297129593735,1140.647338519818,1153.3057298387148,1164.785019598456,1171.7959951035177,1164.8071464972863,1169.9139863012056,1171.409046975533,1168.8452742497188,1164.2828164903347,1173.3542095752175,1189.5673683186326,1192.2313636538818,1191.075673778571,1189.7217540236704,1187.600180609054,1184.0006877501687,1180.3777360454862,1176.3532323818704,1175.2817178888067,1176.092082308776,1182.0691356712634,1184.5070822431198,1176.1803383558938,1181.6670995683073,1177.8988013499913,1178.236783815598,1170.1459822694392,1179.1366776261914,1191.381633332555,1210.9909956362721,1225.0343259557367,1230.7260584641724,1231.519194234977,1227.1512734993225,1232.5917179522569,1228.29669400888,1230.137394842723,1229.4472890969155,1232.9568516828315,1232.106425921628,1232.2381759645496,1232.1498925278036,1228.2739985428805,1227.688970757439,1222.6805881851724,1227.1988438425058,1227.9399667252183,1231.9578557726832,1235.9974095080445,1239.8234489096587,1244.5782735688717,1244.612842681857,1242.9606009015636,1237.7976059615073,1238.0826860337575,1239.8536299316866,1246.45033193649,1250.8809318179317,1242.6981569006261,1227.1970358096548,1213.4242543259688,1207.2513986353576,1206.3218478941876,1206.4371793200942,1209.8128875988696,1213.6397901043192,1214.9078852114292,1217.0749511520978,1216.7687457978354,1222.3582528554211,1233.643992597182,1251.8161280548463,1272.939068749406,1292.70855873829,1311.8279475777854,1328.0149000525976,1338.3284332029993,1346.5889969682812,1353.2429567806041,1359.8865625718267,1368.3675674545805,1374.8378065649415,1383.6629765299824,1389.5838594947745,1395.9442069885615,1399.879459250542,1401.2673888644404,1401.728096464377,1401.1982255020089,1400.6571964001125,1403.2385734600903,1408.6990642534922,1414.3784573486344,1419.6115143922736,1419.758068334413,1421.421948869753,1421.4919303571323,1419.97378262582,1417.5488469960937,1414.1592615550442,1413.973569670693,1415.0172856654565,1416.8513781569688,1418.4164226637577,1417.2083704896993,1413.8383520110265,1415.0034874575094,1418.646334437024,1424.8569438713744,1425.434624753126,1426.2013265738433,1427.1852117520377,1430.5720640176755,1432.9577128170406,1433.165773855798,1431.70691410899,1431.549553820512,1433.036291514404,1432.4637506195368,1429.2815823750798,1424.4092065565426,1424.6669672214293,1425.2922943046963,1425.975664609721,1423.2172442484855
395209,6,"Washington, DC",msa,VA,1756.6701760161109,1750.1491049062029,1753.2857089343279,1756.6114433351443,1764.970657665638,1767.0159647968292,1769.2344749645756,1758.6124556900259,1762.4577265218813,1772.3358508149884,1784.4824859181192,1784.8624161425198,1782.6145844408434,1778.0503125912217,1781.2367089932445,1786.8936579368942,1791.401893078717,1794.4635844750808,1798.147658382436,1805.0124062356792,1802.7383372107226,1798.7314678591817,1795.9650572660787,1806.6161051674621,1816.6613945639065,1832.0291320813878,1835.0519357714802,1834.7460065717637,1830.7478274936457,1833.3263584706374,1834.1059246538068,1834.9179627659896,1835.0529248935593,1840.1759565631858,1835.7681244671808,1831.4822404643014,1826.9118357582095,1832.8730430012197,1842.9896028361768,1852.580670998119,1856.2882139307148,1860.0927978690881,1863.198049603507,1873.8931151596166,1875.6417765949193,1883.0937148819814,1890.8646174117061,1900.4422300017598,1905.0128836775882,1904.5390494750848,1903.1175598800576,1903.328321452553,1910.2041298647828,1914.4455322670483,1920.0261883902722,1919.3978991810097,1927.386573613288,1928.5082735726116,1933.6384050705635,1934.787485758239,1940.1693478255427,1943.2001223156497,1941.9453909253568,1928.9465506355436,1907.9148998673227,1882.5942144890244,1864.543895214199,1851.5451564713742,1837.5789006219768,1828.101312692625,1816.116980913354,1814.6583255370501,1819.1515940363927,1829.2880533641437,1832.9173612388402,1843.019089135148,1861.7537735748947,1891.7329832340804,1919.9420719338705,1949.0311600846703,1975.2456808608079,2000.3526528360708,2020.214991601373,2032.6060941237315,2036.8040374035572,2040.8450570333343,2048.8952033856467,2064.1105915281023,2078.86220396162,2093.6357267471603,2105.841976280816,2111.7538723357293,2114.7631804104303,2111.2017719562914,2111.2893548087313,2111.0058313137497,2116.1893490217417,2122.107085283747,2135.7874607355475,2140.7662753129694,2146.0545136901874,2142.776440676027,2147.0274541368694,2152.925464945472,2161.7051608414204,2172.1956802926447,2182.143087187619,2189.4512279293785,2194.7905647740317,2200.8179521833254,2205.4923836806665,2212.1125879173032,2219.4338123419448,2230.451597682177,2239.150472927006,2245.7582641072954,2250.788901316811,2254.3183161145844,2259.3635598626215,2266.8231208713078,2273.544461466247,2278.1250992720957,2278.1378632348014,2278.1358264208297,2276.168401671157,2274.1710648538087,2269.813501762182,2266.3933344755146,2262.1607707440953,2258.2589071462376
394974,7,"Philadelphia, PA",msa,PA,1231.793884943766,1230.2687914730705,1237.919429311432,1242.2627535725603,1244.6115973300004,1245.8494421019252,1250.4934147616423,1255.184959383751,1258.1501712925815,1260.1708947854213,1261.512095345591,1262.2477736810704,1261.7600950299163,1266.8317382494133,1265.7469751545298,1268.349505136556,1272.8706589325843,1281.352661782601,1284.151026036105,1284.132426484229,1288.001842642934,1290.5096406108314,1296.7738815976593,1297.1682342926422,1299.6462522134389,1300.5101413714901,1305.6781627598561,1309.4039320629377,1311.5222716923524,1311.5238351487349,1312.2413061379023,1315.5249566860196,1317.2545552972897,1319.9282877345481,1320.049760169323,1328.8396976063252,1333.8942450439006,1339.6563840969657,1340.200799644025,1342.705585674892,1346.24121681679,1348.11760111166,1352.1227694131119,1356.2894170368093,1359.870679933748,1365.4778756625542,1370.473358885302,1375.5439715113448,1379.6007778199946,1379.7882636205845,1385.6864802669186,1390.1435478293272,1394.284509830789,1399.999365537661,1404.8057150211653,1408.7994415955652,1413.285507780074,1416.028646407803,1419.8046179148155,1420.4174862860004,1423.3820626912748,1429.149158918295,1432.754675243721,1430.0643557929727,1421.8679089934146,1415.5369196005602,1415.47499013032,1414.7738003356026,1416.5809298701565,1418.9638488838234,1422.2621763404627,1425.2706158881192,1430.5867890005738,1435.878621455099,1442.7086496019979,1454.7410133199655,1473.0814221323328,1491.230900246349,1507.6899594086212,1525.645051236124,1543.0499300620559,1559.0361151683219,1571.9215774448821,1588.1928222584067,1598.8737240323019,1609.1038300749237,1614.5969829772712,1623.594417422444,1630.9188368658747,1640.5648242778823,1647.4481259597922,1651.3030872673733,1653.1989560495922,1653.9446941803633,1656.2363496231326,1656.4174009647384,1659.5781486522262,1659.125101619821,1665.6568893110557,1669.4549789319724,1675.9426539858318,1675.711099771358,1678.0135373314351,1682.3152857407435,1687.830345016117,1691.098116335674,1692.91186299694,1693.5235515937543,1695.857125737745,1701.4570110086904,1706.5028000195566,1713.0479885762072,1716.6441484013922,1721.8217432536853,1722.2425204045155,1724.1506465184834,1725.2886925601833,1731.0324509187963,1736.915223496892,1743.840432848083,1748.8769974374693,1753.079585341725,1755.025011550692,1756.1579123177257,1758.3307594661378,1762.0951339737144,1768.92769408652,1774.2066790973538,1779.8707004542023,1783.2772041429896
394856,8,"Miami, FL",msa,FL,1358.7663682501661,1365.5848142034747,1371.3912220309726,1377.665356228101,1382.4088260009091,1384.7210783123314,1394.2613923574104,1406.9250154215833,1419.3631894390935,1420.8995370381363,1427.4796137702135,1427.9162669895481,1441.7199891135265,1447.004881394253,1458.7958744490845,1462.9189174363494,1465.2296316401878,1467.849491722453,1471.233280006627,1471.912369464638,1475.468882275426,1477.2360450585982,1484.2659674150534,1487.1882802371363,1493.7537370545274,1497.7905685787834,1501.311228315326,1507.1442265378262,1509.4290338775995,1516.0230404607512,1514.162938386135,1520.8162527273118,1525.2679618887987,1532.2022642501145,1529.1223736914205,1532.1426636620201,1531.4203001620472,1538.3285351848817,1542.0345232782045,1549.680166022768,1553.1894162385092,1559.9614459839593,1567.2554294190932,1572.902221842671,1574.4020707893042,1578.4158669621495,1584.7956821096946,1590.5234304429343,1594.2941084220722,1595.31204122388,1598.5859213228987,1599.4392771783257,1605.944679349705,1608.0061432191858,1613.713691231246,1617.1326772458806,1624.5102621274486,1629.6082751291892,1636.8490937773952,1642.8672197585213,1651.4370067603925,1659.5065700189343,1663.332517451136,1659.489958488352,1646.822229856042,1634.8179661808144,1627.9489348176858,1626.667900953816,1627.8021035000163,1634.4191789110205,1643.9391559442504,1654.5769524967855,1672.179523215148,1693.4209231964421,1721.5904767701313,1752.0149407359363,1793.659038427506,1843.0554965454016,1905.2099495416214,1966.5138356667421,2022.1561891376252,2065.1304022788217,2103.425848911598,2141.885311230044,2175.2669881208453,2203.1694814136276,2228.3058021902875,2259.1614036644323,2287.52141185803,2309.1945698803925,2316.7379976813377,2314.6516208708485,2317.5941167992514,2318.424058158636,2326.1524073601113,2332.122099712603,2339.3214626932254,2345.7435334306306,2347.208258523055,2349.6504317275235,2348.0841116403026,2346.700219599102,2341.1151813503025,2344.087411865947,2343.369817662752,2351.6388999673063,2350.851993439762,2351.7126209088074,2352.9752992512185,2358.965021805927,2365.887300565022,2372.077985151476,2376.009388338698,2379.2420337488916,2382.31343868085,2384.456172599856,2389.863731783399,2395.3177417074844,2401.285899489971,2405.753776677609,2409.117802246622,2409.257950586787,2410.4297507756137,2409.578920400414,2411.6401847165903,2414.474260279656,2421.066667322332,2425.443781746633,2427.5044499567234,2425.2482903597925
394347,9,"Atlanta, GA",msa,GA,992.6905221164205,991.475664907686,994.8514965046679,1010.3318909503554,1019.6175266358707,1035.670233726877,1038.6552861826658,1039.4701282206258,1037.8275796255994,1050.161343113896,1072.0791806895338,1086.9441911589158,1092.1274040989815,1095.254609500218,1103.9489011451037,1104.9372243862897,1108.443446631499,1111.4540504751942,1123.0903482410372,1133.2267491022621,1144.4171600725485,1148.3729439133792,1150.8454356235677,1148.7127256769966,1156.759431064378,1167.3428472372116,1177.0431417142408,1185.6956339195995,1191.033845814379,1195.3925603988077,1199.6429645062608,1203.5389474014023,1214.0651326700424,1217.34567866316,1218.0493602746785,1220.6547340949128,1229.3139445284578,1239.0834097498616,1243.9306694113397,1248.5443567975417,1256.749056274316,1262.9012569726806,1269.3205397304466,1274.6251826654043,1279.6082898585778,1292.4440212646036,1301.8463784663816,1308.8565645141389,1311.1664009710416,1312.3838467137875,1316.166611271351,1321.689152363214,1325.5707420092697,1331.0884964650124,1334.581953822678,1339.1207627121394,1339.8692942034615,1338.9282751515761,1341.5950839500363,1345.950953685094,1348.3496790466309,1350.065212317999,1354.283951137945,1347.1822249961813,1335.8615272340119,1328.6523312304973,1330.3211040426072,1331.3647626789034,1334.895766063503,1339.6775228072252,1352.1523255801098,1365.5247360065418,1380.2527118536584,1393.73256493758,1407.1503391632675,1429.7629212710767,1458.2071416803801,1493.94453379949,1529.9720245767483,1568.9982568144223,1604.9791685058076,1635.5056189413385,1655.1780309144335,1666.8401919687108,1670.392402551423,1671.857772931154,1677.2841406412197,1684.2247304375169,1695.085265146441,1702.9682144127112,1709.9334748512128,1709.1431873467789,1705.4004798820877,1697.342091145653,1691.7017918895988,1686.6602285043095,1687.4719302005233,1690.3439247850208,1699.4325927003058,1700.099310308588,1696.4236288199058,1686.0388429322657,1675.6776309919082,1666.3238406194378,1657.4635455920734,1652.6352584755623,1647.620382288179,1644.9001790691823,1642.4873238370094,1641.7150896349567,1637.5230309262913,1636.3825284367022,1636.3916968206388,1635.7773141186292,1632.8442238526025,1627.42564891365,1629.4527993783634,1631.2451063951967,1634.0593252953706,1636.282521215313,1637.0504727379048,1636.1114031241127,1634.2985093171735,1633.681795324668,1633.6122695581844,1637.7980489058289,1644.4104623503888,1654.2321034850254,1659.3111824045982,1664.1192360066627
