Date,Month,Buying_Discounted_CF,Renting_Discounted_CF,Buying_Cumulative_NPV,Renting_Cumulative_NPV,Buying_Net_CF,Renting_Net_CF
2027-05-31,19,-1472.2952326597679,-1313.8084022433877,-79032.38928650896,-274966.75183593977,-1561.5105211891716,-1393.4200134735281
2027-06-30,20,-1468.848144647728,-1313.4532366294288,-80501.23743115668,-276280.2050725692,-1562.9545636549574,-1397.6037875785157
2027-07-31,21,-1465.4078764001558,-1313.5383935218883,-81966.64530755684,-277593.74346609105,-1564.3986061207434,-1402.2700880792836
2027-08-31,22,-1461.9744201135045,-1313.2630428012167,-83428.61972767035,-278907.0065088923,-1565.842648586529,-1406.565842014534
2027-09-30,23,-1458.5477679625408,-1313.2524062275563,-84887.1674956329,-280220.25891511986,-1567.2866910523148,-1411.1591430070587
2027-10-31,24,-1455.12791210057,-1313.3126996268247,-86342.29540773346,-281533.5716147467,-1568.7307335181006,-1415.8439113783106
2027-11-30,25,-1451.714844659658,-1313.1737219013564,-87794.01025239311,-282846.745336648,-1570.1747759838863,-1420.3286976085074
2027-12-31,26,-1448.3085577508539,-1313.0216676064092,-89242.31881014397,-284159.76700425445,-1571.618818449672,-1424.813483838704
2028-01-31,27,-1444.9090434644104,-1312.8566235609474,-90687.22785360839,-285472.6236278154,-1573.0628609154578,-1429.2982700689008
2028-02-29,28,-1441.5162938700053,-1312.6786761565781,-92128.7441474784,-286785.30230397196,-1574.5069033812438,-1433.7830562990976
2028-03-31,29,-1438.1303010169581,-1312.4879113594163,-93566.87444849536,-288097.79021533136,-1575.9509458470297,-1438.2678425292943
2028-04-30,30,-1434.7510569344474,-1312.284414711941,-95001.62550542981,-289410.07463004335,-1577.3949883128155,-1442.752628759491
2028-05-31,31,-1431.378553631729,-1312.0682713348451,-96433.00405906154,-290722.14290137816,-1578.8390307786012,-1447.2374149896877
2028-06-30,32,-1428.0127830983486,-1311.8395659288767,-97861.0168421599,-292033.98246730707,-1580.283073244387,-1451.7222012198845
2028-07-31,33,-1424.653737304356,-1311.598382776674,-99285.67057946425,-293345.58085008373,-1581.7271157101727,-1456.2069874500812
2028-08-31,34,-1421.3014082005184,-1311.3448057445914,-100706.97198766477,-294656.9256558283,-1583.1711581759585,-1460.691773680278
2028-09-30,35,-1417.9557877185314,-1311.0789182845197,-102124.9277753833,-295968.0045741128,-1584.6152006417442,-1465.1765599104747
2028-10-31,36,-1414.6168677712287,-1310.8008034356972,-103539.54464315453,-297278.80537754856,-1586.0592431075302,-1469.6613461406714
2028-11-30,37,-1411.2846402527912,-1310.510543826514,-104950.82928340732,-298589.31592137506,-1587.503285573316,-1474.1461323708681
2028-12-31,38,-1407.9590970389559,-1310.2082216763108,-106358.78838044628,-299899.52414305136,-1588.9473280391016,-1478.6309186010649
2029-01-31,39,-1404.6402299872204,-1309.8939187971655,-107763.42861043349,-301209.4180618485,-1590.3913705048874,-1483.1157048312616
2029-02-28,40,-1401.3280309370516,-1309.5677165956793,-109164.75664137054,-302518.9857784442,-1591.8354129706731,-1487.6004910614583
2029-03-31,41,-1398.0224917100868,-1309.229696074748,-110562.77913308062,-303828.21547451895,-1593.279455436459,-1492.085277291655
2029-04-30,42,-1394.7236041103388,-1308.8799378353333,-111957.50273719095,-305137.0954123543,-1594.7234979022448,-1496.5700635218518
2029-05-31,43,-1391.4313599243974,-1308.5185220782212,-113348.93409711534,-306445.6139344325,-1596.1675403680306,-1501.0548497520485
2029-06-30,44,-1388.1457509216314,-1308.145528605776,-114737.07984803697,-307753.7594630383,-1597.6115828338166,-1505.5396359822453
2029-07-31,45,-1384.8667688543867,-1307.761036823687,-116121.94661689136,-309061.520499862,-1599.0556252996023,-1510.024422212442
2029-08-31,46,-1381.5944054581862,-1307.365125742706,-117503.54102234956,-310368.88562560466,-1600.499667765388,-1514.5092084426387
2029-09-30,47,-1378.3286524519274,-1306.9578739803817,-118881.86967480148,-311675.84349958505,-1601.9437102311738,-1518.9939946728355
2029-10-31,48,-1375.0695015380782,-1306.539359762782,-120256.93917633955,-312982.38285934785,-1603.3877526969595,-1523.4787809030322
