Date,Month,Cumulative_Buying,Cumulative_Renting,Cost_Difference,Buying_Monthly,Renting_Monthly,Is_BreakEven,BreakEven_Month,BreakEven_Date
2025-11-30,1,51997.02493121481,1314.387556505798,50682.63737470901,1535.5177568050274,1314.387556505798,False,,
2025-12-31,2,53533.98673048562,2634.28750546583,50899.699225019795,1536.9617992708133,1319.899948960032,False,,
2026-01-31,3,55072.39257222222,3958.1327846147933,51114.25978760743,1538.405841736599,1323.8452791489638,False,,
2026-02-28,4,56612.2424564246,5286.0049147168465,51326.23754170776,1539.8498842023848,1327.8721301020528,False,,
2026-03-31,5,58153.536383092774,6617.617118416653,51535.91926467612,1541.2939266681706,1331.6122036998067,False,,
2026-04-30,6,59696.274352226734,7953.532019153712,51742.74233307302,1542.7379691339565,1335.914900737059,False,,
2026-05-31,7,61240.45636382647,9293.904691374224,51946.551672452246,1544.1820115997423,1340.3726722205117,False,,
2026-06-30,8,62786.082417892,10638.190535297337,52147.89188259466,1545.626054065528,1344.2858439231134,False,,
2026-07-31,9,64333.15251442332,11986.775635494203,52346.37687892911,1547.0700965313138,1348.5851001968651,False,,
2026-08-31,10,65881.66665342041,13339.5450551031,52542.12159831731,1548.5141389970995,1352.7694196088976,False,,
2026-09-30,11,67431.6248348833,14696.1413243049,52735.4835105784,1549.9581814628852,1356.5962692017974,False,,
2026-10-31,12,68983.02705881197,16057.713705921864,52925.31335289011,1551.402223928671,1361.5723816169645,False,,
2026-11-30,13,70535.87332520643,17423.642673468996,53112.23065173743,1552.846266394457,1365.9289675471332,False,,
2026-12-31,14,72090.16363406667,18794.34811347453,53295.81552059214,1554.2903088602427,1370.7054400055347,False,,
2027-01-31,15,73645.8979853927,20169.53265177618,53476.36533361652,1555.7343513260287,1375.1845383016494,False,,
2027-02-28,16,75203.07637918451,21549.314442662377,53653.76193652213,1557.1783937918144,1379.7817908861973,False,,
2027-03-31,17,76761.69881544211,22933.803336496476,53827.89547894563,1558.6224362576002,1384.4888938340982,False,,
2027-04-30,18,78321.7652941655,24322.617779203036,53999.14751496246,1560.066478723386,1388.8144427065613,False,,
2027-05-31,19,79883.27581535467,25716.037792676565,54167.23802267811,1561.5105211891716,1393.4200134735281,False,,
2027-06-30,20,81446.23037900962,27113.64158025508,54332.58879875454,1562.9545636549574,1397.6037875785157,False,,
2027-07-31,21,83010.62898513037,28515.911668334364,54494.71731679601,1564.3986061207434,1402.2700880792836,False,,
2027-08-31,22,84576.4716337169,29922.477510348897,54653.994123368,1565.842648586529,1406.565842014534,False,,
2027-09-30,23,86143.75832476921,31333.636653355956,54810.12167141325,1567.2866910523148,1411.1591430070587,False,,
2027-10-31,24,87712.48905828732,32749.480564734265,54963.008493553054,1568.7307335181006,1415.8439113783106,False,,
2027-11-30,25,89282.6638342712,34169.80926234277,55112.85457192842,1570.1747759838863,1420.3286976085074,False,,
2027-12-31,26,90854.28265272087,35594.62274618148,55259.65990653939,1571.618818449672,1424.813483838704,False,,
2028-01-31,27,92427.34551363633,37023.92101625038,55403.42449738595,1573.0628609154578,1429.2982700689008,False,,
2028-02-29,28,94001.85241701758,38457.70407254948,55544.1483444681,1574.5069033812438,1433.7830562990976,False,,
2028-03-31,29,95577.80336286461,39895.97191507877,55681.83144778584,1575.9509458470297,1438.2678425292943,False,,
2028-04-30,30,97155.19835117742,41338.72454383826,55816.473807339156,1577.3949883128155,1442.752628759491,False,,
2028-05-31,31,98734.03738195603,42785.961958827946,55948.07542312809,1578.8390307786012,1447.2374149896877,False,,
2028-06-30,32,100314.32045520042,44237.68416004783,56076.63629515259,1580.283073244387,1451.7222012198845,False,,
2028-07-31,33,101896.04757091058,45693.89114749791,56202.15642341267,1581.7271157101727,1456.2069874500812,False,,
2028-08-31,34,103479.21872908654,47154.58292117819,56324.63580790835,1583.1711581759585,1460.691773680278,False,,
2028-09-30,35,105063.83392972828,48619.759481088666,56444.074448639614,1584.6152006417442,1465.1765599104747,False,,
2028-10-31,36,106649.89317283581,50089.42082722934,56560.472345606475,1586.0592431075302,1469.6613461406714,False,,
2028-11-30,37,108237.39645840913,51563.56695960021,56673.82949880892,1587.503285573316,1474.1461323708681,False,,
2028-12-31,38,109826.34378644824,53042.197878201274,56784.14590824697,1588.9473280391016,1478.6309186010649,False,,
2029-01-31,39,111416.73515695313,54525.313583032534,56891.4215739206,1590.3913705048874,1483.1157048312616,False,,
2029-02-28,40,113008.57056992379,56012.91407409399,56995.6564958298,1591.8354129706731,1487.6004910614583,False,,
2029-03-31,41,114601.85002536025,57504.999351385646,57096.85067397461,1593.279455436459,1492.085277291655,False,,
2029-04-30,42,116196.5735232625,59001.5694149075,57195.004108355,1594.7234979022448,1496.5700635218518,False,,
2029-05-31,43,117792.74106363053,60502.62426465955,57290.11679897098,1596.1675403680306,1501.0548497520485,False,,
2029-06-30,44,119390.35264646435,62008.1639006418,57382.188745822554,1597.6115828338166,1505.5396359822453,False,,
2029-07-31,45,120989.40827176395,63518.18832285424,57471.21994890971,1599.0556252996023,1510.024422212442,False,,
2029-08-31,46,122589.90793952934,65032.69753129688,57557.21040823246,1600.499667765388,1514.5092084426387,False,,
2029-09-30,47,124191.85164976052,66551.69152596971,57640.1601237908,1601.9437102311738,1518.9939946728355,False,,
2029-10-31,48,125795.23940245748,68075.17030687275,57720.069095584724,1603.3877526969595,1523.4787809030322,False,,
2029-11-30,49,127400.07119762021,69603.13387400599,57796.93732361423,1604.8317951627453,1527.963567133229,False,,
2029-12-31,50,129006.34703524875,71135.5822273694,57870.76480787934,1606.275837628531,1532.4483533634257,False,,
2030-01-31,51,130614.06691534306,72672.51536696302,57941.55154838004,1607.719880094317,1536.9331395936224,False,,
2030-02-28,52,132223.23083790316,74213.93329278684,58009.29754511632,1609.1639225601027,1541.4179258238191,False,,
2030-03-31,53,133833.83880292904,75759.83600484085,58074.002798088186,1610.6079650258885,1545.9027120540159,False,,
2030-04-30,54,135445.89081042074,77310.22350312506,58135.66730729568,1612.0520074916744,1550.3874982842126,False,,
2030-05-31,55,137059.3868603782,78865.09578763947,58194.291072738735,1613.4960499574602,1554.8722845144093,False,,
2030-06-30,56,138674.32695280144,80424.45285838407,58249.87409441736,1614.940092423246,1559.357070744606,False,,
2030-07-31,57,140290.71108769046,81988.29471535888,58302.41637233159,1616.3841348890317,1563.8418569748028,False,,
2030-08-31,58,141908.53926504528,83556.62135856388,58351.91790648141,1617.8281773548174,1568.3266432049995,False,,
2030-09-30,59,143527.8114848659,85129.43278799907,58398.37869686683,1619.2722198206034,1572.8114294351963,False,,
2030-10-31,60,145148.52774715226,86706.72900366447,58441.79874348779,1620.716262286389,1577.296215665393,False,,
2030-11-30,61,146770.68805190444,88288.51000556006,58482.17804634437,1622.1603047521749,1581.7810018955897,False,,
