Date,Month,Buying_Discounted_CF,Renting_Discounted_CF,Buying_Cumulative_NPV,Renting_Cumulative_NPV,Buying_Net_CF,Renting_Net_CF
2031-02-28,64,-1323.8141266778803,-1298.3737925014104,-141820.16063137984,-333821.2021364423,-1626.4924157741866,-1595.2353761649865
2031-03-31,65,-1320.6659268660674,-1297.7754141799471,-143140.8265582459,-335118.97755062225,-1627.9364582399724,-1599.7201626640217
2031-04-30,66,-1317.5241771990568,-1297.1671164526792,-144458.35073544495,-336416.14466707496,-1629.3805007057585,-1604.2049491630569
2031-05-31,67,-1314.3888691030575,-1296.548970426047,-145772.739604548,-337712.693637501,-1630.824543171544,-1608.689735662092
2031-06-30,68,-1311.2599939915544,-1295.9210468480585,-147083.99959853955,-339008.61468434904,-1632.26858563733,-1613.1745221611272
2031-07-31,69,-1308.137543265481,-1295.2834161098726,-148392.13714180503,-340303.8981004589,-1633.7126281031158,-1617.6593086601624
2031-08-31,70,-1305.0215083133953,-1294.6361482473746,-149697.15865011842,-341598.5342487063,-1635.1566705689015,-1622.1440951591976
2031-09-30,71,-1301.9118805116493,-1293.9793129427449,-150999.07053063007,-342892.513561649,-1636.6007130346873,-1626.6288816582328
2031-10-31,72,-1298.8086512245625,-1293.312979526021,-152297.87918185463,-344185.826541175,-1638.044755500473,-1631.113668157268
2031-11-30,73,-1295.7118118045905,-1292.6372169766555,-153593.59099365922,-345478.4637581517,-1639.488797966259,-1635.5984546563031
2031-12-31,74,-1292.621353592497,-1291.952093925064,-154886.2123472517,-346770.4158520768,-1640.9328404320447,-1640.0832411553383
2032-01-31,75,-1289.5372679175184,-1291.257678654169,-156175.74961516922,-348061.67353073094,-1642.3768828978305,-1644.5680276543735
2032-02-29,76,-1286.4595460975347,-1290.5540391009379,-157462.20916126674,-349352.2275698319,-1643.8209253636162,-1649.0528141534087
2032-03-31,77,-1283.3881794392344,-1289.8412428579127,-158745.59734070598,-350642.0688126898,-1645.264967829402,-1653.5376006524439
2032-04-30,78,-1280.3231592382795,-1289.1193571747344,-160025.92049994424,-351931.18816986453,-1646.7090102951877,-1658.022387151479
2032-05-31,79,-1277.2644767794716,-1288.3884489596617,-161303.1849767237,-353219.5766188242,-1648.1530527609737,-1662.5071736505142
2032-06-30,80,-1274.2121233369132,-1287.648584781082,-162577.39710006063,-354507.22520360525,-1649.5970952267592,-1666.9919601495494
2032-07-31,81,-1271.1660901741732,-1286.8998308690184,-163848.5631902348,-355794.1250344743,-1651.0411376925454,-1671.4767466485846
2032-08-31,82,-1268.1263685444455,-1286.142253116628,-165116.68955877924,-357080.26728759095,-1652.485180158331,-1675.9615331476198
2032-09-30,83,-1265.0929496907122,-1285.3759170816945,-166381.78250846994,-358365.6432046726,-1653.9292226241168,-1680.446319646655
2032-10-31,84,-1262.0658248459017,-1284.6008879881172,-167643.84833331584,-359650.2440926607,-1655.3732650899026,-1684.9311061456901
2032-11-30,85,-1259.044985233049,-1283.8172307273912,-168902.8933185489,-360934.06132338813,-1656.8173075556883,-1689.4158926447253
2032-12-31,86,-1256.030422065452,-1283.0250098600811,-170158.92374061435,-362217.0863332482,-1658.261350021474,-1693.9006791437605
2033-01-31,87,-1253.0221265468301,-1282.224289617291,-171411.94586716118,-363499.3106228655,-1659.7053924872598,-1698.3854656427957
2033-02-28,88,-1250.020089871479,-1281.415133902127,-172661.96595703266,-364780.7257567677,-1661.1494349530458,-1702.8702521418309
2033-03-31,89,-1247.024303224427,-1280.5976062911534,-173908.9902602571,-366061.3233630588,-1662.5934774188315,-1707.355038640866
2033-04-30,90,-1244.0347577815874,-1279.7717700358437,-175153.0250180387,-367341.09513309464,-1664.0375198846173,-1711.8398251399012
2033-05-31,91,-1241.0514447099142,-1278.9376880640248,-176394.0764627486,-368620.03282115865,-1665.481562350403,-1716.3246116389364
2033-06-30,92,-1238.0743551675532,-1278.095422981317,-177632.15081791615,-369898.12824413995,-1666.925604816189,-1720.8093981379716
2033-07-31,93,-1235.103480303993,-1277.2450370725646,-178867.25429822013,-371175.3732812125,-1668.3696472819745,-1725.2941846370068
2033-08-31,94,-1232.1388112602176,-1276.3865923032647,-180099.39310948036,-372451.7598735158,-1669.8136897477605,-1729.778971136042
2033-09-30,95,-1229.1803391688532,-1275.5201503209869,-181328.5734486492,-373727.2800238368,-1671.2577322135462,-1734.2637576350771
2033-10-31,96,-1226.2280551543206,-1274.645772456789,-182554.80150380352,-375001.9257962936,-1672.7017746793322,-1738.7485441341123
2033-11-30,97,-1223.2819503329802,-1273.7635197266256,-183778.0834541365,-376275.68931602023,-1674.145817145118,-1743.2333306331475
2033-12-31,98,-1220.3420158132797,-1272.8734528327523,-184998.42546994978,-377548.562768853,-1675.5898596109037,-1747.7181171321827
2034-01-31,99,-1217.4082426959028,-1271.9756321651225,-186215.8337126457,-378820.5384010181,-1677.0339020766894,-1752.2029036312179
2034-02-28,100,-1214.4806220739108,-1271.0701178027796,-187430.3143347196,-380091.60851882084,-1678.4779445424751,-1756.687690130253
2034-03-31,101,-1211.5591450328895,-1270.1569695152425,-188641.87347975248,-381361.7654883361,-1679.9219870082609,-1761.1724766292882
2034-04-30,102,-1208.643802651093,-1269.236246763887,-189850.51728240357,-382631.00173509994,-1681.3660294740466,-1765.6572631283234
2034-05-31,103,-1205.7345859995842,-1268.3080087033193,-191056.25186840317,-383899.3097438033,-1682.8100719398326,-1770.1420496273586
2034-06-30,104,-1202.8314861423792,-1267.3723141827452,-192259.08335454555,-385166.68205798604,-1684.2541144056183,-1774.6268361263938
2034-07-31,105,-1199.9344941365873,-1266.4292217473335,-193459.01784868215,-386433.11127973336,-1685.6981568714043,-1779.111622625429
2034-08-31,106,-1197.0436010325507,-1265.4787896395735,-194656.0614497147,-387698.5900693729,-1687.1421993371898,-1783.5964091244641
2034-09-30,107,-1194.1587978739856,-1264.521075800627,-195850.2202475887,-388963.11114517355,-1688.5862418029758,-1788.0811956234993
2034-10-31,108,-1191.2800756981187,-1263.556137871675,-197041.50032328683,-390226.66728304524,-1690.0302842687615,-1792.5659821225345
2034-11-30,109,-1188.407425535826,-1262.584033195257,-198229.90774882265,-391489.25131624046,-1691.4743267345473,-1797.0507686215697
