Date,Month,Cumulative_Buying,Cumulative_Renting,Cost_Difference,Buying_Monthly,Renting_Monthly,Is_BreakEven,BreakEven_Month,BreakEven_Date
2025-11-30,1,68969.63611664347,3385.469047971271,65584.16706867219,3725.704646909469,3385.469047971271,False,231,2045-01-31
2025-12-31,2,72698.74282915654,6782.662690866526,65916.08013829002,3729.1067125130676,3397.1936428952545,False,231,2045-01-31
2026-01-31,3,76431.25160727321,10190.377607005905,66240.8740002673,3732.508778116667,3407.7149161393795,False,231,2045-01-31
2026-02-28,4,80167.16245099346,13607.569934426334,66559.59251656712,3735.910843720266,3417.1923274204282,False,231,2045-01-31
2026-03-31,5,83906.47536031733,17033.371555525282,66873.10380479204,3739.3129093238654,3425.8016210989485,False,231,2045-01-31
2026-04-30,6,87649.1903352448,20467.095040685916,67182.09529455888,3742.714974927464,3433.723485160635,False,231,2045-01-31
2026-05-31,7,91395.30737577585,23908.229284323454,67487.0780914524,3746.1170405310636,3441.13424363754,False,231,2045-01-31
2026-06-30,8,95144.82648191052,27356.427890051968,67788.39859185855,3749.519106134663,3448.1986057285153,False,231,2045-01-31
2026-07-31,9,98897.74765364878,30811.492285567587,68086.2553680812,3752.921171738262,3455.064395515618,False,231,2045-01-31
2026-08-31,10,102654.07089099065,34273.35139569376,68380.71949529689,3756.3232373418614,3461.859110126171,False,231,2045-01-31
2026-09-30,11,106413.79619393611,37742.03949600643,68671.75669792968,3759.7253029454605,3468.6881003126714,False,231,2045-01-31
2026-10-31,12,110176.92356248517,41217.67362978256,68959.2499327026,3763.1273685490596,3475.6341337761355,False,231,2045-01-31
2026-11-30,13,113943.45299663783,44700.43171544144,69243.02128119639,3766.5294341526587,3482.7580856588743,False,231,2045-01-31
2026-12-31,14,117713.3844963941,48190.53221511549,69522.85228127861,3769.9314997562583,3490.100499674054,False,231,2045-01-31
2027-01-31,15,121486.71806175396,51688.21598950249,69798.50207225146,3773.3335653598574,3497.6837743869974,False,231,2045-01-31
2027-02-28,16,125263.4536927174,55193.73073881694,70069.72295390046,3776.7356309634565,3505.514749314452,False,231,2045-01-31
2027-03-31,17,129043.59138928447,58707.31823083676,70336.2731584477,3780.137696567056,3513.5874920198203,False,231,2045-01-31
2027-04-30,18,132827.1311514551,62229.20434860221,70597.92680285289,3783.539762170655,3521.886117765449,False,231,2045-01-31
2027-05-31,19,136614.0729792294,65759.5918539685,70854.48112526089,3786.9418277742543,3530.387505366283,False,231,2045-01-31
2027-06-30,20,140404.41687260722,69298.6556588244,71105.76121378283,3790.343893377854,3539.063804855908,False,231,2045-01-31
2027-07-31,21,144198.16283158868,72846.54032180156,71351.62250978712,3793.745958981453,3547.88466297716,False,231,2045-01-31
2027-08-31,22,147995.31085617375,76403.35944205859,71591.95141411516,3797.148024585052,3556.8191202570274,False,231,2045-01-31
2027-09-30,23,151795.86094636237,79969.19659982919,71826.66434653319,3800.5500901886517,3565.837157770597,False,231,2045-01-31
2027-10-31,24,155599.81310215464,83544.10749202763,72055.70561012701,3803.952155792251,3574.910892198449,False,231,2045-01-31
2027-11-30,25,159407.1673235505,87128.1229262863,72279.0443972642,3807.35422139585,3584.015434258676,False,231,2045-01-31
2027-12-31,26,163217.92361054994,90721.25236437813,72496.67124617181,3810.756286999449,3593.129438091828,False,231,2045-01-31
2028-01-31,27,167032.08196315297,94323.48774229051,72708.59422086246,3814.1583526030486,3602.23537791238,False,231,2045-01-31
2028-02-29,28,170849.64238135965,97934.80733585206,72914.83504550759,3817.5604182066472,3611.319593561544,False,231,2045-01-31
2028-03-31,29,174670.60486516988,101555.17948479102,73115.42538037886,3820.962483810247,3620.3721489389504,False,231,2045-01-31
2028-04-30,30,178494.96941458373,105184.5660319319,73310.40338265183,3824.3645494138464,3629.3865471408853,False,231,2045-01-31
2028-05-31,31,182322.7360296012,108822.92537592613,73499.81065367506,3827.7666150174455,3638.359343994239,False,231,2045-01-31
2028-06-30,32,186153.9047102222,112470.21507396922,73683.689636253,3831.1686806210446,3647.289698043083,False,231,2045-01-31
2028-07-31,33,189988.47545644687,116126.39396435316,73862.08149209371,3834.5707462246437,3656.1788903839433,False,231,2045-01-31
2028-08-31,34,193826.44826827513,119791.42380682932,74035.0244614458,3837.9728118282433,3665.0298424761577,False,231,2045-01-31
2028-09-30,35,197667.82314570696,123465.27046136852,74202.55268433844,3841.3748774318424,3673.8466545392057,False,231,2045-01-31
2028-10-31,36,201512.60008874242,127147.904643061,74364.69544568141,3844.7769430354415,3682.6341816924864,False,231,2045-01-31
2028-11-30,37,205360.77909738146,130839.3023028953,74521.47679448615,3848.179008639041,3691.3976598343056,False,231,2045-01-31
2028-12-31,38,209212.3601716241,134539.44469146943,74672.91548015468,3851.58107424264,3700.142388574138,False,231,2045-01-31
2029-01-31,39,213067.34331147035,138248.3181659157,74819.02514555465,3854.9831398462393,3708.873474446277,False,231,2045-01-31
2029-02-28,40,216925.72851692018,141965.9138001287,74959.81471679147,3858.385205449839,3717.5956342130057,False,231,2045-01-31
2029-03-31,41,220787.51578797362,145692.22685546483,75095.28893250879,3861.7872710534375,3726.3130553361216,False,231,2045-01-31
2029-04-30,42,224652.70512463065,149427.25616410992,75225.44896052073,3865.189336657037,3735.029308645077,False,231,2045-01-31
2029-05-31,43,228521.2965268913,153171.00347092713,75350.29305596417,3868.5914022606366,3743.747306817212,False,231,2045-01-31
2029-06-30,44,232393.28999475553,156923.47277237565,75469.81722237988,3871.9934678642353,3752.4693014485165,False,231,2045-01-31
2029-07-31,45,236268.68552822337,160684.66968353145,75584.01584469192,3875.395533467835,3761.196911155805,False,231,2045-01-31
2029-08-31,46,240147.4831272948,164454.60085676055,75692.88227053426,3878.797599071434,3769.931173229084,False,231,2045-01-31
2029-09-30,47,244029.68279196983,168233.27346852035,75796.40932344948,3882.199664675033,3778.6726117598078,False,231,2045-01-31
2029-10-31,48,247915.28452224846,172020.6947843427,75894.58973790577,3885.601730278632,3787.421315822355,False,231,2045-01-31
2029-11-30,49,251804.28831813068,175816.87180644623,75987.41651168445,3889.0037958822318,3796.1770221035445,False,231,2045-01-31
2029-12-31,50,255696.69417961652,179621.81100373392,76074.8831758826,3892.405861485831,3804.939197287697,False,231,2045-01-31
2030-01-31,51,259592.50210670594,183435.5181201855,76156.98398652044,3895.80792708943,3813.707116451578,False,231,2045-01-31
2030-02-28,52,263491.71209939895,187257.9980548396,76233.71404455934,3899.2099926930296,3822.4799346541204,False,231,2045-01-31
2030-03-31,53,267394.32415769564,191089.25480462014,76305.0693530755,3902.6120582966287,3831.256749780526,False,231,2045-01-31
2030-04-30,54,271300.33828159585,194929.29146011014,76371.04682148571,3906.014123900228,3840.0366554899983,False,231,2045-01-31
2030-05-31,55,275209.7544710997,198778.11024391174,76431.64422718796,3909.4161895038274,3848.818783801601,False,231,2045-01-31
2030-06-30,56,279122.5727262071,202635.71258133452,76486.86014487257,3912.8182551074265,3857.6023374227766,False,231,2045-01-31
2030-07-31,57,283038.7930469181,206502.09919371115,76536.69385320696,3916.2203207110256,3866.3866123766375,False,231,2045-01-31
2030-08-31,58,286958.41543323273,210377.27020553124,76581.14522770149,3919.622386314625,3875.171011820082,False,231,2045-01-31
2030-09-30,59,290881.439885151,214261.2252577039,76620.2146274471,3923.0244519182243,3883.9550521726514,False,231,2045-01-31
2030-10-31,60,294807.8664026728,218153.9636205108,76653.90278216198,3926.4265175218234,3892.738362806908,False,231,2045-01-31
2030-11-30,61,298737.6949857982,222055.48430110907,76682.21068468914,3929.8285831254225,3901.520680598271,False,231,2045-01-31
2030-12-31,62,302670.92563452723,225965.7861417193,76705.13949280794,3933.230648729022,3910.3018406102337,False,231,2045-01-31
2031-01-31,63,306607.5583488599,229884.86790583376,76722.69044302613,3936.6327143326216,3919.0817641144786,False,231,2045-01-31
2031-02-28,64,310547.5931287961,233812.72835086277,76734.86477793331,3940.0347799362203,3927.8604450290118,False,231,2045-01-31
2031-03-31,65,314491.0299743359,237749.3662865771,76741.66368775882,3943.43684553982,3936.6379357143387,False,231,2045-01-31
2031-04-30,66,318437.8688854793,241694.78061948696,76743.08826599232,3946.838911143419,3945.414332909863,False,231,2045-01-31
2031-05-31,67,322388.1098622263,245648.97038391724,76739.13947830905,3950.240976747018,3954.1897644302694,False,231,2045-01-31
2031-06-30,68,326341.75290457695,249611.93476100036,76729.81814357659,3953.643042350617,3962.964377083103,False,231,2045-01-31
2031-07-31,69,330298.7980125312,253583.6730871209,76715.12492541029,3957.0451079542167,3971.7383261205373,False,231,2045-01-31
2031-08-31,70,334259.245186089,257564.18485352618,76695.06033256283,3960.447173557816,3980.5117664052746,False,231,2045-01-31
2031-09-30,71,338223.0944252504,261553.46969888188,76669.62472636855,3963.849239161415,3989.2848453556935,False,231,2045-01-31
2031-10-31,72,342190.3457300154,265551.5273965223,76638.81833349314,3967.2513047650145,3998.057697640428,False,231,2045-01-31
2031-11-30,73,346160.999100384,269558.3578380402,76602.6412623438,3970.6533703686137,4006.8304415179355,False,231,2045-01-31
2031-12-31,74,350135.05453635624,273573.96101470187,76561.09352165437,3974.0554359722128,4015.603176661668,False,231,2045-01-31
