Date,Month,Buying_Discounted_CF,Renting_Discounted_CF,Buying_Cumulative_NPV,Renting_Cumulative_NPV,Buying_Net_CF,Renting_Net_CF
2029-10-31,48,-3332.302136799192,-3248.102358336302,-234488.63405060684,-409229.17819114146,-3885.601730278632,-3787.421315822355
2029-11-30,49,-3324.3367436506437,-3244.9880283848534,-237812.97079425748,-412474.1662195263,-3889.0037958822318,-3796.1770221035445
2029-12-31,50,-3316.387852740042,-3241.8649501988216,-241129.3586469975,-415716.0311697252,-3892.405861485831,-3804.939197287697
2030-01-31,51,-3308.4554411837585,-3238.7325804154834,-244437.81408818127,-418954.7637501407,-3895.80792708943,-3813.707116451578
2030-02-28,52,-3300.539486071798,-3235.5902817969363,-247738.35357425307,-422190.3540319376,-3899.2099926930296,-3822.4799346541204
2030-03-31,53,-3292.639964468211,-3232.437377844824,-251030.9935387213,-425422.7914097824,-3902.6120582966287,-3831.256749780526
2030-04-30,54,-3284.756853411514,-3229.2731980388485,-254315.75039213282,-428652.0646078213,-3906.014123900228,-3840.0366554899983
2030-05-31,55,-3276.8901299150943,-3226.097113510952,-257592.6405220479,-431878.16172133223,-3909.4161895038274,-3848.818783801601
2030-06-30,56,-3269.039770967619,-3222.908563450893,-260861.68029301552,-435101.0702847831,-3912.8182551074265,-3857.6023374227766
2030-07-31,57,-3261.205753533445,-3219.707072910056,-264122.88604654896,-438320.7773576932,-3916.2203207110256,-3866.3866123766375
2030-08-31,58,-3253.3880545530205,-3216.4922629344346,-267376.27410110197,-441537.2696206276,-3919.622386314625,-3875.171011820082
2030-09-30,59,-3245.586650943283,-3213.2638541244673,-270621.86075204524,-444750.53347475204,-3923.0244519182243,-3883.9550521726514
2030-10-31,60,-3237.801519598064,-3210.021664800921,-273859.6622716433,-447960.5551395529,-3926.4265175218234,-3892.738362806908
2030-11-30,61,-3230.032637388481,-3206.7656049659136,-277089.6949090318,-451167.3207445189,-3929.8285831254225,-3901.520680598271
2030-12-31,62,-3222.2799811633354,-3203.4956672007197,-280311.9748901951,-454370.81641171954,-3933.230648729022,-3910.3018406102337
2031-01-31,63,-3214.5435277495017,-3200.211915551042,-283526.5184179446,-457571.02832727064,-3936.6327143326216,-3919.0817641144786
2031-02-28,64,-3206.823253952317,-3196.9144733291996,-286733.3416718969,-460767.94280059985,-3940.0347799362203,-3927.8604450290118
2031-03-31,65,-3199.1191365559716,-3193.6035106229697,-289932.4608084529,-463961.54631122283,-3943.43684553982,-3936.6379357143387
2031-04-30,66,-3191.4311523238894,-3190.279232152874,-293123.8919607768,-467151.8255433757,-3946.838911143419,-3945.414332909863
2031-05-31,67,-3183.759277999114,-3186.9418659722037,-296307.6512387759,-470338.7674093479,-3950.240976747018,-3954.1897644302694
2031-06-30,68,-3176.1034903046884,-3183.5916533636746,-299483.7547290806,-473522.3590627116,-3953.643042350617,-3962.964377083103
2031-07-31,69,-3168.463765944032,-3180.2288401585047,-302652.2184950246,-476702.58790287003,-3957.0451079542167,-3971.7383261205373
2031-08-31,70,-3160.840081601317,-3176.853669591252,-305813.05857662595,-479879.4415724613,-3960.447173557816,-3980.5117664052746
2031-09-30,71,-3153.232413941843,-3173.466376709061,-308966.29099056777,-483052.90794917033,-3963.849239161415,-3989.2848453556935
2031-10-31,72,-3145.6407396124077,-3170.0671842777647,-312111.93173018016,-486222.97513344814,-3967.2513047650145,-3998.057697640428
2031-11-30,73,-3138.0650352416756,-3166.6563000693577,-315249.9967654218,-489389.63143351744,-3970.6533703686137,-4006.8304415179355
2031-12-31,74,-3130.5052774405467,-3163.2339153746702,-318380.50204286235,-492552.86534889217,-3974.0554359722128,-4015.603176661668
2032-01-31,75,-3122.9614428025184,-3159.800204559948,-321503.46348566486,-495712.6655534521,-3977.4575015758123,-4024.3759832748246
2032-02-29,76,-3115.4335079040507,-3156.35532547455,-324618.8969935689,-498869.0208789266,-3980.859567179411,-4033.148922278339
2032-03-31,77,-3107.921449304927,-3152.8994205167724,-327726.81844287383,-502021.9202994434,-3984.2616327830106,-4041.9220363494687
2032-04-30,78,-3100.425243548609,-3149.4326181736346,-330827.2436864224,-505171.35291761707,-3987.66369838661,-4050.695351593566
2032-05-31,79,-3092.9448671625955,-3145.9550348661023,-333920.18855358503,-508317.3079524832,-3991.065763990209,-4059.4688796457854
2032-06-30,80,-3085.480296658777,-3142.4667769514367,-337005.6688502438,-511459.77472943463,-3994.4678295938083,-4068.242620020216
2032-07-31,81,-3078.031508533784,-3138.9679427574247,-340083.7003587776,-514598.74267219205,-3997.8698951974075,-4077.016562548911
2032-08-31,82,-3070.5984792693407,-3135.4586245473556,-343154.29883804696,-517734.2012967394,-4001.2719608010066,-4085.790689780562
2032-09-30,83,-3063.1811853326094,-3131.938910338535,-346217.48002337955,-520866.14020707796,-4004.6740264046057,-4094.5649792363765
2032-10-31,84,-3055.779603176539,-3128.408885519756,-349273.2596265561,-523994.54909259774,-4008.0760920082053,-4103.339405447747
2032-11-30,85,-3048.3937092402043,-3124.8686342336473,-352321.65333579626,-527119.4177268314,-4011.478157611805,-4112.1139417253535
2032-12-31,86,-3041.0234799491504,-3121.3182405077596,-355362.6768157454,-530240.7359673391,-4014.8802232154035,-4120.888561631773
2033-01-31,87,-3033.668891715733,-3117.7577891332594,-358396.3457074612,-533358.4937564724,-4018.282288819003,-4129.663240148884
2033-02-28,88,-3026.32992093945,-3114.187366302055,-361422.67562840064,-536472.6811227745,-4021.684354422602,-4138.437954547153
2033-03-31,89,-3019.0065440072826,-3110.6070600222383,-364441.6821724079,-539583.2881827967,-4025.0864200262013,-4147.212684976193
2033-04-30,90,-3011.6987372940252,-3107.0169603379723,-367453.3809097019,-542690.3051431347,-4028.488485629801,-4155.987414804982
2033-05-31,91,-3004.406477162616,-3103.4171593837104,-370457.78738686454,-545793.7223025183,-4031.8905512334,-4164.762130745974
2033-06-30,92,-2997.1297399644673,-3099.80775130424,-373454.917126829,-548893.5300538226,-4035.2926168369995,-4173.53682280047
2033-07-31,93,-2989.868502039792,-3096.1888320718367,-376444.7856288688,-551989.7188858944,-4038.6946824405986,-4182.3114840634125
2033-08-31,94,-2982.6227397179287,-3092.5604992302206,-379427.40836858674,-555082.2793851247,-4042.0967480441977,-4191.086110424612
2033-09-30,95,-2975.3924293176638,-3088.9228515923214,-382402.8007979044,-558171.202236717,-4045.4988136477973,-4199.860700200822
2033-10-31,96,-2968.1775471475526,-3085.275988915505,-385370.97834505193,-561256.4782256326,-4048.900879251396,-4208.635253729387
2033-11-30,97,-2960.9780695062395,-3081.6200115740953,-388331.95641455817,-564338.0982372067,-4052.3029448549955,-4217.409772949849
2033-12-31,98,-2953.7939726827726,-3077.9550202451296,-391285.75038724096,-567416.0532574517,-4055.705010458595,-4226.184260995179
2034-01-31,99,-2946.6252329569215,-3074.2811156193757,-394232.37562019785,-570490.3343730711,-4059.1070760621938,-4234.95872180954
2034-02-28,100,-2939.471826599487,-3070.598398146013,-397171.84744679736,-573560.9327712171,-4062.5091416657933,-4243.733159804899
2034-03-31,101,-2932.3337298726155,-3066.9069678161063,-400104.18117666995,-576627.8397390333,-4065.9112072693924,-4252.507579564553
2034-04-30,102,-2925.210919030106,-3063.2069239871175,-403029.3920957001,-579691.0466630203,-4069.3132728729915,-4261.281985597885
2034-05-31,103,-2918.1033703177186,-3059.498365248354,-405947.4954660178,-582750.5450282687,-4072.7153384765907,-4270.056382147404
2034-06-30,104,-2911.0110599734785,-3055.781389325351,-408858.5065259913,-585806.326417594,-4076.11740408019,-4278.83077304656
