Date,Month,Buying_Wealth,Renting_Wealth,Wealth_Difference,Buying_Equity,Buying_CumulativeCosts,Renting_InvestmentValue,Renting_CumulativeRent
2028-01-31,27,-47977.218756192364,196784.08861210657,244761.30736829893,119054.8620529187,167032.08080911107,291107.5763186434,94323.48770653685
2028-02-29,28,-49122.05456583647,194818.73358159995,243940.78814743643,121727.58661873895,170849.64118457542,292753.5408785242,97934.80729692423
2028-03-31,29,-50267.68718958931,192853.63251940286,243121.31970899217,124402.91643605405,174670.60362564336,294408.8119613291,101555.17944192622
2028-04-30,30,-51414.10308510123,190888.8762031025,242302.97928820373,127080.86504721368,178494.9681323149,296073.4421874917,105184.56598438919
2028-05-31,31,-52561.28863962804,188924.55915196874,241485.84779159678,129761.44606496202,182322.73470459005,297747.4844749693,108822.92532300051
2028-06-30,32,-53709.230169665156,186960.77702592296,240670.0071955881,132444.67317280365,186153.9033424688,299430.992040925,112470.21501500205
2028-07-31,33,-54857.913920579886,184997.6245046803,239855.5384252602,135130.56012537127,189988.47404595115,301124.01840341935,116126.39389873904
2028-08-31,34,-56007.3260662416,183035.19364909246,239042.51971533406,137819.1207487955,193826.4468150371,302826.617383112,119791.42373401958
2028-09-30,35,-57157.45270865003,181073.5727241006,238231.02543275064,140510.36894107662,197667.82164972665,304538.8431049723,123465.27038087168
2028-10-31,36,-58308.27987756193,179112.8454455594,237421.12532312132,143204.31867245788,201512.59855001981,306260.74999999994,127147.90455444055
2028-11-30,37,-59459.79353011516,177153.09060119028,236612.88413130544,145900.9839858014,205360.77751591656,307992.39280695573,130839.30220576546
2028-12-31,38,-60611.979550451535,175194.3819886119,235806.36153906342,148600.37899696536,209212.3585474169,309733.8265741011,134539.44458548923
2029-01-31,39,-61764.823749337316,173236.78861016643,235001.61235950375,151302.51789518353,213067.34164452084,311485.1066609484,138248.318050782
2029-02-28,40,-62918.31186378168,171280.3750644523,234198.68692823398,154007.4149434467,216925.72680722838,313246.2887400209,141965.9136755686
2029-03-31,41,-64072.42955665343,169325.2020773942,233397.63163404763,156715.0844788861,220787.51403553953,315017.4287986221,145692.2267212279
2029-04-30,42,-65227.16241629553,167371.3271206554,232598.48953695092,159425.54091315874,224652.70332945426,316798.5831406161,149427.25601996068
2029-05-31,43,-66382.4959561378,165418.80507157912,231801.30102771692,162138.7987328348,228521.29468897262,318589.8083882172,153171.00331663806
2029-06-30,44,-67538.41561430742,163467.6888760688,231006.10449037622,164854.87249978713,232393.28811409455,320391.16148378974,156923.47260772093
2029-07-31,45,-68694.90675323759,161518.03018337712,230212.93693661471,167573.77685158252,236268.6836048201,322202.6996916587,160684.6695082816
2029-08-31,46,-69851.954659274,159569.87992925168,229421.83458852567,170295.52650187525,240147.48116114925,324024.4805999298,164454.60067067813
2029-09-30,47,-71009.54454227927,157623.28885096355,228632.83339324282,173020.1362408027,244029.68078308197,325856.5621223203,168233.27327135674
2029-10-31,48,-72167.66153523559,155678.30792416414,227845.96945939973,175747.62093538273,247915.28247061832,327699.00249999994,172020.6945758358
2029-11-30,49,-73326.29069384484,153734.9887171234,227061.27941096824,178477.9955299134,251804.28622375824,329551.86030344263,175816.87158631923
2029-12-31,50,-74485.41699612708,151793.38366259338,226278.80065872046,181211.2750463747,255696.6920425018,331415.1944342882,179621.8107716948
2030-01-31,51,-75645.0253420166,149853.54625128733,225498.57159330393,183947.47458483232,259592.49992684892,333289.06412721484,183435.5178759275
2030-02-28,52,-76805.10055295611,147915.5311537803,224720.6317067364,186686.60932384356,263491.70987679966,335173.5289518223,187257.99779804202
2030-03-31,53,-77965.62737148866,145979.39427957588,223945.02165106454,189428.69452086533,267394.321892354,337068.64881452563,191089.25453494975
2030-04-30,54,-79126.5904608476,144045.19278323624,223171.78324408384,192173.74551266432,271300.3359735119,338974.4839604592,194929.29117722294
2030-05-31,55,-80287.97440454428,142112.98502793748,222400.95943248176,194921.77771572914,275209.7521202734,340891.09497539233,198778.10994745485
2030-06-30,56,-81449.76370595366,140182.83051670683,221632.5942226605,197672.8066266849,279122.57033263857,342818.54278765497,202635.71227094813
2030-07-31,57,-82611.94278789771,138254.7898010443,220866.73258894202,200426.8478227096,283038.7906106073,344756.8886700748,206502.0988690305
2030-08-31,58,-83774.49599222676,136328.92437573647,220103.42036796323,203183.91696195287,286958.4129541796,346706.1942419249,210377.26986618844
2030-09-30,59,-84937.40757939848,134405.29656755313,219342.7041469516,205944.02978395706,290881.43736335554,348666.5214708827,214261.22490332957
2030-10-31,60,-86100.66172805504,132483.96942426433,218584.63115231937,208707.20211008005,294807.8638381351,350637.93267499993,218153.9632507356
2030-11-30,61,-87264.24253459746,130565.00660911872,217829.24914371618,211473.44984392077,298737.69237851823,352620.49052468356,222055.48391556484
2030-12-31,62,-88428.13401275838,128648.47230464831,217076.6063174067,214242.78897174657,302670.92298450496,354614.2580446883,225965.78574004
2031-01-31,63,-89592.32009317237,126734.43112846362,216326.751221636,217015.2355629229,306607.55565609527,356619.29861611984,229884.8674876562
2031-02-28,64,-90756.78462294373,124822.94806262286,215579.7326855666,219790.80577034544,310547.59039328917,358635.6759784499,233812.727915827
2031-03-31,65,-91921.51136521262,122914.08839721576,214835.59976242838,222569.5158308741,314491.0271960867,360663.4542315424,237749.36583432666
2031-04-30,66,-93086.48399871826,121007.91768802245,214094.40168674072,225351.38206576958,318437.86606448784,362702.69783769135,241694.7801496689
2031-05-31,67,-94251.68611736043,119104.50172748783,213356.18784484826,228136.42088113213,322388.10699849256,364753.4716236698,245648.96989618195
2031-06-30,68,-95417.10122975841,117203.9065277894,212621.0077575478,230924.64876834245,326341.74999810086,366815.8407827908,249611.9342550014
2031-07-31,69,-96582.71275880776,115306.19831446544,211888.9110732732,233716.08230450505,330298.7950633128,368889.87087698,253583.67256251458
2031-08-31,70,-97748.50404123456,113411.44352888846,211159.947570123,236510.73815289378,334259.24219412834,370975.6278388596,257564.18430997117
2031-09-30,71,-98914.45832714759,111519.7088378057,210434.16716495328,239308.63306339987,338223.09139054746,373073.17797384446,261553.46913603877
2031-10-31,72,-100080.55877958803,109631.06114819675,209711.61992778478,242109.78387298214,342190.34265257017,375182.5879622499,265551.5268140531
2031-11-30,73,-101246.78847407701,107745.56762580341,208992.35609988042,244914.20750611945,346160.99598019646,377303.92486141145,269558.35723560804
2031-12-31,74,-102413.1303981606,105863.29571584618,208276.42611400678,247721.9209752658,350135.0513734264,379437.2561078165,273573.9603919703
2032-01-31,75,-103579.56745095237,103984.31316463859,207563.88061559096,250532.94138130755,354112.5088322599,381582.64951924817,277598.3363546096
2032-02-29,76,-104746.08244267385,102108.68804102513,206854.770483699,253347.28591402317,358093.368356697,383740.1732969414,281631.48525591625
2032-03-31,77,-105912.6580941925,100236.48875679285,206149.14685098536,256164.97185254522,362077.6299467377,385909.8960277504,285673.40727095754
2032-04-30,78,-107079.2770365572,98367.7840854238,205447.061121981,258986.01656582486,366065.29360238207,388091.88668632973,289724.1026009059
2032-05-31,79,-108245.92181053123,96502.64317875775,204748.56498928898,261810.43751309876,370056.35932363,390286.21463732666,293783.5714585689
2032-06-30,80,-109412.57486612303,94641.13558131817,204053.7104474412,264638.2522443585,374050.8271104815,392492.94963758613,297851.81405626796
2032-07-31,81,-110579.21856211463,92783.33124221204,203362.54980432667,267469.478400822,378048.6969629366,394712.16183836863,301928.8305961566
2032-08-31,82,-111745.83516558725,90929.30052464281,202675.13569023006,270304.13371540804,382049.9688809953,396943.9217875798,306014.62126293697
2032-09-30,83,-112912.40685144468,89079.11421318096,201991.52106462565,273142.23601321294,386054.6428646576,399188.3004320136,310109.1862188326
2032-10-31,84,-114078.91570193408,87232.84351900901,201311.7592209431,275983.80321198946,390062.71891392354,401445.3691196074,314212.52560059837
2032-11-30,85,-115245.34370616445,85390.5600834103,200635.90378957475,278828.8533226286,394074.19702879305,403715.1996017102,318324.6395182999
2032-12-31,86,-116411.6727596224,83552.33597979811,199964.0087394205,281677.40444964374,398089.07720926614,405997.86403536366,322445.52805556555
2033-01-31,87,-117577.88466368557,81718.24371458997,199296.12837827555,284529.4747916573,402107.35945534287,408293.4349855956,326575.1912710056
2033-02-28,88,-118743.96112513338,79888.35622722632,198632.3173523597,287385.0826418898,406129.0437670232,410601.9854277272,330713.6292005009
2033-03-31,89,-119909.88375565526,78062.74688961083,197972.6306452661,290244.24638865184,410154.1301443071,412923.5887496929,334860.84186008206
2033-04-30,90,-121075.63407135644,76241.4895052241,197317.12357658055,293106.98451583815,414182.6185871946,415258.3187543728,339016.8292491487
2033-05-31,91,-122241.19349226117,74424.65830812644,196665.8518003876,295973.3156034245,418214.5090956857,417606.2496619395,343181.59135381307
2033-06-30,92,-123406.54334181314,72612.32796202856,196018.8713038417,298843.25832796725,422249.8016697804,419967.45611221716,347355.1281501886
2033-07-31,93,-124571.66484637337,70804.57355957059,195376.23840594396,301716.83146310534,426288.4963094787,422342.0131670544,351537.4396074838
2033-08-31,94,-125736.5391347158,69001.47062191326,194738.00975662906,304594.0538800648,430330.5930147806,424729.99631271034,355728.5256907971
2033-09-30,95,-126901.14723751991,67203.09509871091,194104.24233623082,307474.9445481662,434376.0917856861,427131.4814622545,359928.38636354357
2033-10-31,96,-128065.47008686082,65409.52336850407,193474.9934553649,310359.5225353344,438424.9926221952,429546.5449579799,364137.0215894758
2033-11-30,97,-129229.48851569666,63620.83223954408,192850.32075524074,313247.8070086113,442477.29552430793,431975.2635738299,368354.4313342858
2033-12-31,98,-130393.18325735349,61837.09895104042,192230.2822083939,316139.81723467074,446533.00049202424,434417.7145178391,372580.61556679866
2034-01-31,99,-131556.53494500724,60058.40117480379,191614.93611981103,319035.5725803369,450592.1075253441,436873.9754345873,376815.5742597835
2034-02-28,100,-132719.52411116334,58284.81701724668,191004.34112841001,321935.09251310426,454654.6166242676,439344.12440766813,381059.30739042145
2034-03-31,101,-133882.13118713326,56516.42502169439,190398.55620882765,324838.39660166146,458720.5277887947,441828.23996217136,385311.81494047696
2034-04-30,102,-135044.33650250843,54753.30417095509,189797.64067346352,327745.504516417,462789.8410189254,444326.4010671789,389573.0968962238
2034-05-31,103,-136206.12028463167,52995.53389009711,189201.65417472878,330656.43603002804,466862.5563146597,446838.68713827524,393843.15324817813
2034-06-30,104,-137367.4626580656,51243.19404938264,188610.65670744824,333571.211017932,470938.6736759976,449365.1780400724,398121.98399068974
2034-07-31,105,-138528.34364405845,49496.36496731051,188024.70861136896,336489.84945888066,475018.1931029391,451905.9540887482,402409.5891214377
2034-08-31,106,-139688.74316000682,47755.12741372653,187443.87057373335,339412.3714354774,479101.1145954842,454461.0960546,406705.9686408735
2034-09-30,107,-140848.64101891615,46019.56261296471,186868.20363188087,342338.79713471676,483187.4381536329,457030.6851646123,411011.1225516476
2034-10-31,108,-142008.01692885777,44289.752246989636,186297.7691758474,345269.1468485274,487277.1637773852,459614.8031050385,415325.05085804884
2034-11-30,109,-143166.85049242375,42565.778458517685,185732.62895094143,348203.4409743173,491370.29146674107,462213.53202399804,419647.75356548035
2034-12-31,110,-144325.1212061784,40847.723854099284,185172.84506027767,351141.7000155222,495466.8212217006,464826.9545340878,423979.2306799885
2035-01-31,111,-145482.80846010713,39135.67150715226,184618.4799672594,354083.94458215655,499566.7530422637,467455.15371500835,428319.4822078561
2035-02-28,112,-146639.89153706253,37429.70496093895,184069.59649800148,357030.19539136783,503670.08692843036,470098.2131162049,432668.50815526594
2035-03-31,113,-147796.3496122075,35729.908231487265,183526.25784369477,359980.47326799313,507776.82288020063,472756.2167595233,437026.30852803605
2035-04-30,114,-148952.1617524554,34036.36581045698,182988.52756291238,362934.79914511915,511886.96089757455,475429.24914188136,441392.8833314244
2035-05-31,115,-150107.3069159073,32349.162667956203,182456.4695838635,365893.19406464475,516000.50098055205,478117.3952379545,445768.2325699983
2035-06-30,116,-151261.7639512865,30668.384255315468,181930.14820660197,368855.67917784664,520117.44312913314,480820.7405028774,450152.3562475619
2035-07-31,117,-152415.5115973699,28994.116507827363,181409.62810519728,371822.2757459479,524237.7873433178,483539.3708749605,454545.25436713314
2035-08-31,118,-153568.52848241653,27326.44584746071,180894.97432987724,374793.00514068955,528361.5336231061,486273.372778422,458946.9269309613
2035-09-30,119,-154720.79312359303,25665.459185558197,180386.25230915123,377767.8888449049,532488.6819684979,489022.83312613517,463357.373940577
2035-10-31,120,-155872.28392639622,24011.24392552662,179883.52785192285,380746.9484530972,536619.2323794934,491787.83932239114,467776.5953968645
