Date,Month,Cumulative_Buying,Cumulative_Renting,Cost_Difference,Buying_Monthly,Renting_Monthly,Is_BreakEven,BreakEven_Month,BreakEven_Date
2025-11-30,1,68969.63607390117,3385.469047566154,65584.16702633502,3725.7046041671742,3385.469047566154,False,231,2045-01-31
2025-12-31,2,72698.74274367194,6782.6626893934645,65916.08005427849,3729.106669770774,3397.19364182731,False,231,2045-01-31
2026-01-31,3,76431.25147904632,10190.377603684821,66240.87387536149,3732.508735374373,3407.714914291357,False,231,2045-01-31
2026-02-28,4,80167.16228002429,13607.5699284828,66559.59235154149,3735.910800977972,3417.1923247979785,False,231,2045-01-31
2026-03-31,5,83906.47514660587,17033.37154628904,66873.10360031683,3739.312866581571,3425.8016178062408,False,231,2045-01-31
2026-04-30,6,87649.19007879104,20467.09502766159,67182.09505112945,3742.7149321851707,3433.723481372553,False,231,2045-01-31
2026-05-31,7,91395.3070765798,23908.22926723291,67487.0778093469,3746.1169977887703,3441.134239571317,False,231,2045-01-31
2026-06-30,8,95144.82613997218,27356.42786884999,67788.39827112219,3749.519063392369,3448.1986016170795,False,231,2045-01-31
2026-07-31,9,98897.74726896815,30811.492260434305,68086.25500853384,3752.9211289959685,3455.0643915843143,False,231,2045-01-31
2026-08-31,10,102654.07046356771,34273.35136700824,68380.71909655948,3756.3231945995676,3461.859106573932,False,231,2045-01-31
2026-09-30,11,106413.79572377088,37742.03946430642,68671.75625946446,3759.7252602031667,3468.6880972981835,False,231,2045-01-31
2026-10-31,12,110176.92304957764,41217.67359571552,68959.24945386212,3763.127325806766,3475.6341314090955,False,231,2045-01-31
2026-11-30,13,113943.45244098801,44700.43167971158,69243.02076127642,3766.5293914103654,3482.758083996064,False,231,2045-01-31
2026-12-31,14,117713.38389800198,48190.53217843127,69522.85171957071,3769.9314570139645,3490.1004987196893,False,231,2045-01-31
2027-01-31,15,121486.71742061953,51688.21595252789,69798.50146809165,3773.3335226175636,3497.6837740966203,False,231,2045-01-31
2027-02-28,16,125263.4530088407,55193.730702129425,70069.72230671128,3776.735588221163,3505.5147496015375,False,231,2045-01-31
2027-03-31,17,129043.59066266546,58707.31819489367,70336.27246777179,3780.1376538247623,3513.587492764242,False,231,2045-01-31
2027-04-30,18,132827.13038209383,62229.20431371664,70597.92606837719,3783.5397194283614,3521.8861188229744,False,231,2045-01-31
2027-05-31,19,136614.07216712576,65759.59182029498,70854.48034683078,3786.941785031961,3530.3875065783486,False,231,2045-01-31
2027-06-30,20,140404.41601776134,69298.65562635401,71105.76039140733,3790.34385063556,3539.063806059034,False,231,2045-01-31
2027-07-31,21,144198.1619340005,72846.5402903655,71351.621643635,3793.745916239159,3547.8846640114934,False,231,2045-01-31
2027-08-31,22,147995.30991584325,76403.35941133914,71591.9505045041,3797.147981842759,3556.8191209736337,False,231,2045-01-31
2027-09-30,23,151795.85996328964,79969.1965693764,71826.66339391323,3800.550047446358,3565.837158037264,False,231,2045-01-31
2027-10-31,24,155599.8120763396,83544.10746128029,72055.7046150593,3803.952113049957,3574.910891903884,False,231,2045-01-31
2027-11-30,25,159407.16625499312,87128.12289459539,72279.04336039773,3807.354178653556,3584.0154333150963,False,231,2045-01-31
2027-12-31,26,163217.92249925027,90721.25233103141,72496.67016821886,3810.7562442571557,3593.1294364360283,False,231,2045-01-31
2028-01-31,27,167032.08080911104,94323.48770653685,72708.59310257419,3814.1583098607543,3602.23537550544,False,231,2045-01-31
2028-02-29,28,170849.6411845754,97934.80729692423,72914.83388765116,3817.560375464354,3611.319590387385,False,231,2045-01-31
2028-03-31,29,174670.60362564336,101555.17944192622,73115.42418371714,3820.9624410679535,3620.372145001979,False,231,2045-01-31
2028-04-30,30,178494.9681323149,105184.56598438919,73310.40214792572,3824.364506671552,3629.3865424629803,False,231,2045-01-31
2028-05-31,31,182322.73470459005,108822.92532300051,73499.80938158954,3827.7665722751517,3638.359338611327,False,231,2045-01-31
2028-06-30,32,186153.9033424688,112470.21501500205,73683.68832746676,3831.168637878751,3647.289692001534,False,231,2045-01-31
2028-07-31,33,189988.47404595115,116126.39389873904,73862.08014721211,3834.57070348235,3656.1788837369972,False,231,2045-01-31
2028-08-31,34,193826.4468150371,119791.42373401958,74035.02308101753,3837.9727690859495,3665.0298352805416,False,231,2045-01-31
2028-09-30,35,197667.82164972665,123465.27038087168,74202.55126885498,3841.3748346895486,3673.846646852092,False,231,2045-01-31
2028-10-31,36,201512.59855001981,127147.90455444055,74364.69399557926,3844.7769002931477,3682.6341735688775,False,231,2045-01-31
2028-11-30,37,205360.77751591656,130839.30220576546,74521.4753101511,3848.1789658967473,3691.397651324912,False,231,2045-01-31
2028-12-31,38,209212.3585474169,134539.44458548923,74672.91396192767,3851.5810315003464,3700.1423797237735,False,231,2045-01-31
2029-01-31,39,213067.34164452084,138248.318050782,74819.02359373885,3854.9830971039455,3708.8734652927697,False,231,2045-01-31
2029-02-28,40,216925.72680722838,141965.9136755686,74959.81313165979,3858.3851627075446,3717.595624786594,False,231,2045-01-31
2029-03-31,41,220787.51403553953,145692.2267212279,75095.28731431163,3861.787228311144,3726.3130456592926,False,231,2045-01-31
2029-04-30,42,224652.70332945426,149427.25601996068,75225.44730949358,3865.1892939147438,3735.0292987327825,False,231,2045-01-31
2029-05-31,43,228521.29468897262,153171.00331663806,75350.29137233456,3868.5913595183424,3743.7472966773926,False,231,2045-01-31
