Date,Month,Buying_Discounted_CF,Renting_Discounted_CF,Buying_Cumulative_NPV,Renting_Cumulative_NPV,Buying_Net_CF,Renting_Net_CF,City
2029-10-31,48,-1375.0695015380782,-1306.539359762782,-120256.93917633955,-312982.38285934785,-1603.3877526969595,-1523.4787809030322,Buffalo
2029-11-30,49,-1371.8169444028729,-1306.1096609262138,-121628.75612074244,-314288.49252027407,-1604.8317951627453,-1527.963567133229,Buffalo
2029-12-31,50,-1368.570972716507,-1305.668854918932,-122997.32709345894,-315594.161375193,-1606.275837628531,-1532.4483533634257,Buffalo
2030-01-31,51,-1365.3315781333283,-1305.2170188028451,-124362.65867159226,-316899.3783939958,-1607.719880094317,-1536.9331395936224,Buffalo
2030-02-28,52,-1362.0987522920325,-1304.7542292552096,-125724.7574238843,-318204.13262325106,-1609.1639225601027,-1541.4179258238191,Buffalo
2030-03-31,53,-1358.872486815849,-1304.280562570321,-127083.62991070014,-319508.4131858214,-1610.6079650258885,-1545.902712054016,Buffalo
2030-04-30,54,-1355.6527733127375,-1303.7960946611984,-128439.28268401288,-320812.2092804825,-1612.0520074916744,-1550.3874982842126,Buffalo
2030-05-31,55,-1352.439603375571,-1303.3009010612566,-129791.72228738846,-322115.5101815438,-1613.4960499574602,-1554.872284514409,Buffalo
2030-06-30,56,-1349.232968582327,-1302.7950569259776,-131140.9552559708,-323418.3052384698,-1614.940092423246,-1559.357070744606,Buffalo
2030-07-31,57,-1346.0328604962724,-1302.2786370345734,-132486.98811646708,-324720.5838755044,-1616.3841348890317,-1563.8418569748028,Buffalo
2030-08-31,58,-1342.8392706661507,-1301.7517157916393,-133829.82738713323,-326022.335591296,-1617.8281773548174,-1568.3266432049995,Buffalo
2030-09-30,59,-1339.6521906263658,-1301.2143672288037,-135169.4795777596,-327323.5499585248,-1619.2722198206034,-1572.8114294351965,Buffalo
2030-10-31,60,-1336.4716118971653,-1300.6666650063698,-136505.95118965677,-328624.2166235312,-1620.716262286389,-1577.296215665393,Buffalo
2030-11-30,61,-1333.297525984823,-1300.1086824149506,-137839.2487156416,-329924.3253059462,-1622.1603047521749,-1581.7810018955895,Buffalo
2030-12-31,62,-1330.129924381822,-1299.540492377097,-139169.3786400234,-331223.86579832324,-1623.6043472179606,-1586.2657881257865,Buffalo
2031-01-31,63,-1326.968798567033,-1298.9621674489204,-140496.34743859046,-332522.8279657721,-1625.0483896837463,-1590.7505743559832,Buffalo
2031-02-28,64,-1323.8141400058942,-1298.3737798217053,-141820.16157859634,-333821.20174559386,-1626.492432149532,-1595.23536058618,Buffalo
2031-03-31,65,-1320.6659401505913,-1297.775401323521,-143140.82751874693,-335118.9771469174,-1627.9364746153178,-1599.7201468163769,Buffalo
2031-04-30,66,-1317.5241904402324,-1297.1671034208202,-144458.35170918715,-336416.1442503382,-1629.3805170811038,-1604.2049330465734,Buffalo
2031-05-31,67,-1314.3888823010268,-1296.5489572200372,-145772.74059148817,-337712.69320755824,-1630.8245595468898,-1608.68971927677,Buffalo
2031-06-30,68,-1311.2600071464578,-1295.9210334691732,-147084.00059863462,-339008.6142410274,-1632.2686020126755,-1613.1745055069669,Buffalo
2031-07-31,69,-1308.1375563774593,-1295.2834025593804,-148392.13815501207,-340303.8976435868,-1633.7126444784612,-1617.6592917371636,Buffalo
2031-08-31,70,-1305.0215213825882,-1294.636134526538,-149697.15967639466,-341598.5337781133,-1635.156686944247,-1622.1440779673603,Buffalo
2031-09-30,71,-1301.9118935381966,-1293.97929905282,-150999.07156993286,-342892.51307716616,-1636.6007294100327,-1626.628864197557,Buffalo
2031-10-31,72,-1298.8086642086034,-1293.3129654682573,-152297.88023414146,-344185.82604263443,-1638.0447718758185,-1631.1136504277538,Buffalo
2031-11-30,73,-1295.7118247462638,-1292.637202752296,-153593.5920588877,-345478.4632453867,-1639.4888143416042,-1635.5984366579503,Buffalo
2031-12-31,74,-1292.621366491941,-1291.9520795353458,-154886.21342537965,-346770.41532492207,-1640.9328568073902,-1640.0832228881472,Buffalo
2032-01-31,75,-1289.5372807748709,-1291.2576641003227,-156175.75070615453,-348061.6729890224,-1642.376899273176,-1644.568009118344,Buffalo
2032-02-29,76,-1286.4595589129328,-1290.554024384188,-157462.21026506746,-349352.2270134066,-1643.8209417389617,-1649.0527953485407,Buffalo
2032-03-31,77,-1283.388192212815,-1289.8412279794768,-158745.59845728028,-350642.06824138603,-1645.2649842047474,-1653.5375815787374,Buffalo
2032-04-30,78,-1280.3231719701794,-1289.1193421358246,-160025.92162925046,-351931.1875835218,-1646.7090266705331,-1658.0223678089342,Buffalo
2032-05-31,79,-1277.2644894698262,-1288.3884337614836,-161303.18611872027,-353219.57601728337,-1648.153069136319,-1662.507154039131,Buffalo
2032-06-30,80,-1274.2121359858588,-1287.6485694248356,-162577.39825470615,-354507.2245867082,-1649.5971116021049,-1666.9919402693276,Buffalo
2032-07-31,81,-1271.1661027818443,-1286.8998153558966,-163848.56435748798,-355794.1244020641,-1651.0411540678906,-1671.4767264995244,Buffalo
2032-08-31,82,-1268.1263811109773,-1286.1422374478182,-165116.69073859896,-357080.2666395119,-1652.4851965336766,-1675.961512729721,Buffalo
