Date,Month,Buying_Discounted_CF,Renting_Discounted_CF,Buying_Cumulative_NPV,Renting_Cumulative_NPV,Buying_Net_CF,Renting_Net_CF
2028-02-29,28,-1223.8325778477736,-1344.1546952658407,-77253.2836911636,-286778.73957067553,-1336.7402440044511,-1468.1629724951492
2028-03-31,29,-1221.2236435580403,-1346.7328152495213,-78474.50733472164,-288125.472385925,-1338.2574268792598,-1475.7945455254612
2028-04-30,30,-1218.6187494130104,-1349.3301503266366,-79693.12608413465,-289474.80253625166,-1339.7746589539115,-1483.4814767464295
2028-05-31,31,-1216.0178873179984,-1351.9463833446957,-80909.14397145265,-290826.7489195964,-1341.291929903087,-1491.2237661580539
2028-06-30,32,-1213.4210512078212,-1354.5811995525148,-82122.56502266048,-292181.3301191489,-1342.8092315683894,-1499.0214137603346
2028-07-31,33,-1210.8282366045676,-1357.2342865861724,-83333.39325926504,-293538.56440573506,-1344.326557503582,-1506.8744195532715
2028-08-31,34,-1208.2394402693894,-1359.9053344550384,-84541.63269953443,-294898.4697401901,-1345.8439026152673,-1514.7827835368648
2028-09-30,35,-1205.6546599283336,-1362.594035527873,-85747.28735946276,-296261.063775718,-1347.3612628789735,-1522.7465057111144
2028-10-31,36,-1203.0738940564872,-1365.300084518998,-86950.36125351925,-297626.36386023695,-1348.8786351148228,-1530.76558607602
2028-11-30,37,-1200.4971417080494,-1368.0231784745374,-88150.8583952273,-298994.38703871146,-1350.3960168102833,-1538.840024631582
2028-12-31,38,-1197.9244023825693,-1370.7630167587301,-89348.78279760988,-300365.15005547024,-1351.9134059801145,-1546.9698213778004
2029-01-31,39,-1195.3556759196692,-1373.5193010403111,-90544.13847352954,-301738.6693565105,-1353.4308010557088,-1555.154976314675
2029-02-28,40,-1192.790962416199,-1376.291735278964,-91736.92943594574,-303114.9610917895,-1354.9482007976535,-1563.3954894422059
2029-03-31,41,-1190.2302621610577,-1379.080025711842,-92927.1596981068,-304494.0411175013,-1356.4656042266458,-1571.6913607603929
2029-04-30,42,-1187.6735755839295,-1381.8838808401572,-94114.83327369073,-305875.9249983415,-1357.983010568904,-1580.0425902692361
2029-05-31,43,-1185.1209032149734,-1384.7030114158417,-95299.95417690571,-307260.6280097573,-1359.500419213036,-1588.4491779687357
2029-06-30,44,-1182.5722456531455,-1387.5371304282746,-96482.52642255886,-308648.1651401856,-1361.0178296759586,-1596.9111238588916
2029-07-31,45,-1180.0276035413146,-1390.3859530910768,-97662.55402610017,-310038.5510932767,-1362.5352415759723,-1605.4284279397039
2029-08-31,46,-1177.4869775467293,-1393.2491968289753,-98840.0410036469,-311431.80029010563,-1364.052654611482,-1614.0010902111721
2029-09-30,47,-1174.9503683456999,-1396.1265812647353,-100014.9913719926,-312827.9268713704,-1365.5700685441866,-1622.6291106732967
2029-10-31,48,-1172.4177766116002,-1399.017828206157,-101187.4091486042,-314226.94469957653,-1367.087483185797,-1631.3124893260776
2029-11-30,49,-1169.8892030054797,-1401.9226616331418,-102357.29835160969,-315628.8673612097,-1368.6048983875385,-1640.0512261695148
2029-12-31,50,-1167.3646481687363,-1404.8408076848245,-103524.66299977842,-317033.7081688945,-1370.1223140318589,-1648.8453212036084
2030-01-31,51,-1164.8441127174083,-1407.7719946467698,-104689.50711249583,-318441.4801635413,-1371.6397300258766,-1657.694774428358
2030-02-28,52,-1162.3275972377428,-1410.7159529382382,-105851.83470973358,-319852.1961164795,-1373.1571462962029,-1666.5995858437639
2030-03-31,53,-1159.8151022827662,-1413.6724150995137,-107011.64981201635,-321265.86853157904,-1374.6745627848497,-1675.559755449826
2030-04-30,54,-1157.3066283696498,-1416.6411157793016,-108168.956440386,-322682.5096473583,-1376.1919794459996,-1684.5752832465446
2030-05-31,55,-1154.802175977694,-1419.6217917221848,-109323.75861636369,-324102.1314390805,-1377.70939624345,-1693.6461692339194
2030-06-30,56,-1152.3017455468039,-1422.614181756151,-110476.0603619105,-325524.7456208367,-1379.2268131485964,-1702.7724134119503
2030-07-31,57,-1149.8053374763508,-1425.6180267801815,-111625.86569938685,-326950.3636476169,-1380.744230138837,-1711.9540157806375
2030-08-31,58,-1147.3129521243366,-1428.6330697519036,-112773.17865151119,-328378.9967173688,-1382.261647196314,-1721.190976339981
2030-09-30,59,-1144.8245898067964,-1431.659055675308,-113918.00324131799,-329810.6557730441,-1383.779064306916,-1730.4832950899809
2030-10-31,60,-1142.3402507973901,-1434.695731588529,-115060.34349211538,-331245.3515046326,-1385.2964814594948,-1739.830972030637
2030-11-30,61,-1139.8599353271393,-1437.742846551688,-116200.20342744252,-332683.09435118426,-1386.8138986452404,-1749.2340071619492
2030-12-31,62,-1137.3836435842813,-1440.8001516348004,-117337.5870710268,-334123.89450281905,-1388.3313158571923,-1758.6924004839177
2031-01-31,63,-1134.9113757142163,-1443.8673999057448,-118472.49844674102,-335567.76190272486,-1389.8487330898508,-1768.2061519965425
2031-02-28,64,-1132.4431318195195,-1446.9443464182937,-119604.94157856054,-337014.7062491431,-1391.3661503388705,-1777.7752616998237
2031-03-31,65,-1129.9789119600175,-1450.0307482002074,-120734.92049052056,-338464.73699734337,-1392.8835676008175,-1787.399729593761
2031-04-30,66,-1127.5187161528997,-1453.1263642413878,-121862.43920667346,-339917.8633615847,-1394.4009848729788,-1797.0795556783546
2031-05-31,67,-1125.0625443728732,-1456.2309554820977,-122987.50175104634,-341374.09431706683,-1395.918402153211,-1806.8147399536044
2031-06-30,68,-1122.6103965523346,-1459.3442848012355,-124110.11214759867,-342833.43860186805,-1397.43581943982,-1816.6052824195106
2031-07-31,69,-1120.16227258157,-1462.4661170046745,-125230.27442018024,-344295.90471887274,-1398.953236731468,-1826.451183076073
