Date,Month,Cumulative_Buying,Cumulative_Renting,Cost_Difference,Buying_Monthly,Renting_Monthly,Is_BreakEven,BreakEven_Month,BreakEven_Date,City
2027-06-30,20,81446.23037900962,27113.64158025508,54332.58879875454,1562.9545636549574,1397.6037875785155,False,256,2047-02-28,Buffalo
2027-07-31,21,83010.62898513037,28515.911668334364,54494.71731679601,1564.3986061207434,1402.2700880792836,False,256,2047-02-28,Buffalo
2027-08-31,22,84576.4716337169,29922.477510348897,54653.994123368,1565.842648586529,1406.565842014534,False,256,2047-02-28,Buffalo
2027-09-30,23,86143.75832476921,31333.63665335596,54810.12167141325,1567.2866910523148,1411.159143007059,False,256,2047-02-28,Buffalo
2027-10-31,24,87712.48905828732,32749.480564734265,54963.008493553054,1568.7307335181006,1415.8439113783106,False,256,2047-02-28,Buffalo
2027-11-30,25,89282.6638342712,34169.80926234277,55112.85457192842,1570.1747759838863,1420.3286976085074,False,256,2047-02-28,Buffalo
2027-12-31,26,90854.28265272088,35594.62274618148,55259.65990653939,1571.618818449672,1424.813483838704,False,256,2047-02-28,Buffalo
2028-01-31,27,92427.34551363632,37023.92101625038,55403.42449738595,1573.0628609154578,1429.2982700689008,False,256,2047-02-28,Buffalo
2028-02-29,28,94001.85241701758,38457.70407254948,55544.1483444681,1574.5069033812438,1433.7830562990976,False,256,2047-02-28,Buffalo
2028-03-31,29,95577.8033628646,39895.97191507877,55681.83144778584,1575.9509458470295,1438.2678425292945,False,256,2047-02-28,Buffalo
2028-04-30,30,97155.19835117742,41338.72454383826,55816.47380733916,1577.3949883128157,1442.752628759491,False,256,2047-02-28,Buffalo
2028-05-31,31,98734.03738195603,42785.961958827946,55948.07542312809,1578.8390307786012,1447.2374149896875,False,256,2047-02-28,Buffalo
2028-06-30,32,100314.32045520042,44237.68416004783,56076.63629515259,1580.283073244387,1451.7222012198845,False,256,2047-02-28,Buffalo
2028-07-31,33,101896.04757091058,45693.89114749791,56202.15642341267,1581.7271157101727,1456.2069874500812,False,256,2047-02-28,Buffalo
2028-08-31,34,103479.21872908654,47154.58292117819,56324.63580790835,1583.1711581759585,1460.691773680278,False,256,2047-02-28,Buffalo
2028-09-30,35,105063.83392972828,48619.759481088666,56444.074448639614,1584.6152006417442,1465.176559910475,False,256,2047-02-28,Buffalo
2028-10-31,36,106649.8931728358,50089.42082722934,56560.47234560648,1586.0592431075302,1469.6613461406714,False,256,2047-02-28,Buffalo
2028-11-30,37,108237.39645840912,51563.56695960021,56673.82949880892,1587.503285573316,1474.146132370868,False,256,2047-02-28,Buffalo
2028-12-31,38,109826.34378644824,53042.19787820128,56784.14590824697,1588.9473280391016,1478.6309186010649,False,256,2047-02-28,Buffalo
2029-01-31,39,111416.73515695312,54525.31358303253,56891.4215739206,1590.3913705048874,1483.1157048312616,False,256,2047-02-28,Buffalo
2029-02-28,40,113008.5705699238,56012.91407409399,56995.6564958298,1591.8354129706731,1487.6004910614583,False,256,2047-02-28,Buffalo
2029-03-31,41,114601.85002536024,57504.999351385646,57096.85067397461,1593.279455436459,1492.085277291655,False,256,2047-02-28,Buffalo
2029-04-30,42,116196.5735232625,59001.5694149075,57195.004108355,1594.7234979022448,1496.5700635218518,False,256,2047-02-28,Buffalo
2029-05-31,43,117792.74106363051,60502.62426465955,57290.11679897098,1596.1675403680306,1501.0548497520483,False,256,2047-02-28,Buffalo
2029-06-30,44,119390.35264646437,62008.1639006418,57382.18874582256,1597.6115828338166,1505.5396359822453,False,256,2047-02-28,Buffalo
2029-07-31,45,120989.40827176395,63518.18832285424,57471.21994890971,1599.0556252996023,1510.024422212442,False,256,2047-02-28,Buffalo
2029-08-31,46,122589.90793952934,65032.69753129688,57557.21040823246,1600.499667765388,1514.5092084426387,False,256,2047-02-28,Buffalo
2029-09-30,47,124191.85164976052,66551.69152596971,57640.1601237908,1601.9437102311738,1518.9939946728357,False,256,2047-02-28,Buffalo
2029-10-31,48,125795.23940245748,68075.17030687275,57720.06909558472,1603.3877526969595,1523.4787809030322,False,256,2047-02-28,Buffalo
2029-11-30,49,127400.0711976202,69603.13387400599,57796.93732361423,1604.8317951627453,1527.963567133229,False,256,2047-02-28,Buffalo
2029-12-31,50,129006.34703524876,71135.5822273694,57870.76480787934,1606.275837628531,1532.4483533634257,False,256,2047-02-28,Buffalo
2030-01-31,51,130614.06691534306,72672.51536696302,57941.55154838004,1607.719880094317,1536.9331395936224,False,256,2047-02-28,Buffalo
2030-02-28,52,132223.23083790316,74213.93329278684,58009.29754511632,1609.1639225601027,1541.4179258238191,False,256,2047-02-28,Buffalo
2030-03-31,53,133833.83880292904,75759.83600484085,58074.002798088186,1610.6079650258885,1545.902712054016,False,256,2047-02-28,Buffalo
2030-04-30,54,135445.89081042074,77310.22350312506,58135.66730729568,1612.0520074916744,1550.3874982842126,False,256,2047-02-28,Buffalo
2030-05-31,55,137059.3868603782,78865.09578763947,58194.291072738735,1613.4960499574602,1554.872284514409,False,256,2047-02-28,Buffalo
2030-06-30,56,138674.32695280144,80424.45285838407,58249.87409441736,1614.940092423246,1559.357070744606,False,256,2047-02-28,Buffalo
2030-07-31,57,140290.71108769046,81988.29471535888,58302.41637233159,1616.3841348890317,1563.8418569748028,False,256,2047-02-28,Buffalo
2030-08-31,58,141908.53926504528,83556.62135856388,58351.91790648141,1617.8281773548174,1568.3266432049995,False,256,2047-02-28,Buffalo
2030-09-30,59,143527.8114848659,85129.43278799907,58398.37869686683,1619.2722198206034,1572.8114294351965,False,256,2047-02-28,Buffalo
2030-10-31,60,145148.52774715226,86706.72900366447,58441.79874348779,1620.716262286389,1577.296215665393,False,256,2047-02-28,Buffalo
2030-11-30,61,146770.68805190444,88288.51000556006,58482.17804634437,1622.1603047521749,1581.7810018955895,False,256,2047-02-28,Buffalo
2030-12-31,62,148394.2923991224,89874.77579368585,58519.51660543656,1623.6043472179606,1586.2657881257865,False,256,2047-02-28,Buffalo
2031-01-31,63,150019.34078880615,91465.52636804184,58553.81442076431,1625.0483896837463,1590.7505743559832,False,256,2047-02-28,Buffalo
2031-02-28,64,151645.83322095568,93060.76172862804,58585.07149232765,1626.492432149532,1595.23536058618,False,256,2047-02-28,Buffalo
2031-03-31,65,153273.76969557098,94660.4818754444,58613.28782012657,1627.9364746153178,1599.7201468163769,False,256,2047-02-28,Buffalo
2031-04-30,66,154903.1502126521,96264.68680849098,58638.46340416113,1629.3805170811038,1604.2049330465734,False,256,2047-02-28,Buffalo
2031-05-31,67,156533.974772199,97873.37652776774,58660.59824443125,1630.8245595468898,1608.68971927677,False,256,2047-02-28,Buffalo
2031-06-30,68,158166.24337421166,99486.5510332747,58679.69234093695,1632.2686020126755,1613.1745055069669,False,256,2047-02-28,Buffalo
2031-07-31,69,159799.95601869014,101104.21032501188,58695.74569367827,1633.7126444784612,1617.6592917371636,False,256,2047-02-28,Buffalo
2031-08-31,70,161435.11270563438,102726.35440297922,58708.75830265516,1635.156686944247,1622.1440779673603,False,256,2047-02-28,Buffalo
2031-09-30,71,163071.7134350444,104352.98326717678,58718.730167867616,1636.6007294100327,1626.628864197557,False,256,2047-02-28,Buffalo
2031-10-31,72,164709.75820692023,105984.09691760452,58725.6612893157,1638.0447718758185,1631.1136504277538,False,256,2047-02-28,Buffalo
2031-11-30,73,166349.24702126184,107619.69535426248,58729.55166699935,1639.4888143416042,1635.5984366579503,False,256,2047-02-28,Buffalo
2031-12-31,74,167990.1798780692,109259.77857715065,58730.40130091857,1640.9328568073902,1640.0832228881472,False,256,2047-02-28,Buffalo
2032-01-31,75,169632.5567773424,110904.34658626898,58728.21019107342,1642.376899273176,1644.568009118344,False,256,2047-02-28,Buffalo
2032-02-29,76,171276.37771908136,112553.39938161752,58722.97833746384,1643.8209417389617,1649.0527953485407,False,256,2047-02-28,Buffalo
2032-03-31,77,172921.6427032861,114206.93696319626,58714.70574008985,1645.2649842047474,1653.5375815787374,False,256,2047-02-28,Buffalo
2032-04-30,78,174568.35172995663,115864.9593310052,58703.39239895143,1646.7090266705331,1658.0223678089342,False,256,2047-02-28,Buffalo
2032-05-31,79,176216.50479909297,117527.46648504434,58689.03831404861,1648.153069136319,1662.507154039131,False,256,2047-02-28,Buffalo
2032-06-30,80,177866.10191069508,119194.45842531369,58671.64348538141,1649.5971116021049,1666.9919402693276,False,256,2047-02-28,Buffalo
2032-07-31,81,179517.14306476296,120865.9351518132,58651.20791294976,1651.0411540678906,1671.4767264995244,False,256,2047-02-28,Buffalo
2032-08-31,82,181169.62826129663,122541.89666454292,58627.731596753714,1652.4851965336766,1675.961512729721,False,256,2047-02-28,Buffalo
2032-09-30,83,182823.5575002961,124222.34296350284,58601.21453679327,1653.9292389994623,1680.4462989599178,False,256,2047-02-28,Buffalo
2032-10-31,84,184478.93078176136,125907.27404869294,58571.65673306842,1655.373281465248,1684.9310851901146,False,256,2047-02-28,Buffalo
2032-11-30,85,186135.7481056924,127596.68992011323,58539.05818557914,1656.8173239310338,1689.4158714203113,False,256,2047-02-28,Buffalo
2032-12-31,86,187794.0094720892,129290.59057776377,58503.418894325456,1658.2613663968195,1693.900657650508,False,256,2047-02-28,Buffalo
2033-01-31,87,189453.71488095183,130988.97602164446,58464.73885930737,1659.7054088626053,1698.3854438807048,False,256,2047-02-28,Buffalo
2033-02-28,88,191114.8643322802,132691.84625175537,58423.01808052484,1661.149451328391,1702.8702301109015,False,256,2047-02-28,Buffalo
2033-03-31,89,192777.4578260744,134399.20126809645,58378.25655797793,1662.593493794177,1707.3550163410982,False,256,2047-02-28,Buffalo
2033-04-30,90,194441.4953623344,136111.04107066774,58330.45429166663,1664.0375362599627,1711.839802571295,False,256,2047-02-28,Buffalo
2033-05-31,91,196106.9769410601,137827.3656594692,58279.611281590885,1665.4815787257485,1716.3245888014917,False,256,2047-02-28,Buffalo
2033-06-30,92,197773.90256225163,139548.1750345009,58225.72752775074,1666.9256211915342,1720.8093750316884,False,256,2047-02-28,Buffalo
2033-07-31,93,199442.27222590896,141273.46919576277,58168.8030301462,1668.3696636573202,1725.2941612618852,False,256,2047-02-28,Buffalo
2033-08-31,94,201112.0859320321,143003.24814325484,58108.83778877722,1669.813706123106,1729.778947492082,False,256,2047-02-28,Buffalo
2033-09-30,95,202783.34368062092,144737.5118769771,58045.83180364384,1671.2577485888917,1734.2637337222786,False,256,2047-02-28,Buffalo
2033-10-31,96,204456.04547167564,146476.26039692957,57979.78507474606,1672.7017910546776,1738.7485199524754,False,256,2047-02-28,Buffalo
2033-11-30,97,206130.1913051961,148219.49370311224,57910.69760208385,1674.1458335204634,1743.233306182672,False,256,2047-02-28,Buffalo
2033-12-31,98,207805.78118118236,149967.2117955251,57838.56938565723,1675.5898759862491,1747.7180924128688,False,256,2047-02-28,Buffalo
2034-01-31,99,209482.8150996344,151719.41467416816,57763.40042546621,1677.0339184520349,1752.2028786430656,False,256,2047-02-28,Buffalo
2034-02-28,100,211161.29306055215,153476.10233904142,57685.19072151077,1678.4779609178206,1756.6876648732623,False,256,2047-02-28,Buffalo
2034-03-31,101,212841.2150639358,155237.27479014487,57603.94027379091,1679.9220033836064,1761.172451103459,False,256,2047-02-28,Buffalo
2034-04-30,102,214522.5811097852,157002.93202747853,57519.649082306656,1681.366045849392,1765.6572373336558,False,256,2047-02-28,Buffalo
2034-05-31,103,216205.39119810035,158773.07405104238,57432.31714705797,1682.8100883151778,1770.1420235638525,False,256,2047-02-28,Buffalo
2034-06-30,104,217889.6453288813,160547.70086083643,57341.94446804488,1684.2541307809638,1774.6268097940492,False,256,2047-02-28,Buffalo
