Date,RentalPrice
2015-01-01,2264.1113143165403
2015-02-01,2278.386759244414
2015-03-01,2291.1668546511232
2015-04-01,2302.839541927394
2015-05-01,2309.751952146793
2015-06-01,2315.3695181753524
2015-07-01,2319.662633014632
2015-08-01,2326.1703802362645
2015-09-01,2333.2346262275564
2015-10-01,2341.9307746933096
2015-11-01,2346.1321530660216
2015-12-01,2349.8879858196237
2016-01-01,2352.5245550480977
2016-02-01,2356.600229982308
2016-03-01,2360.0154794487144
2016-04-01,2361.6219066876142
2016-05-01,2363.7767164097736
2016-06-01,2366.670921342731
2016-07-01,2372.480524987613
2016-08-01,2376.807697270823
2016-09-01,2382.749285840913
2016-10-01,2387.728325537548
2016-11-01,2396.0480504820366
2016-12-01,2399.0551756064283
2017-01-01,2400.329831534764
2017-02-01,2399.2661000850726
2017-03-01,2400.529427488627
2017-04-01,2402.627306091718
2017-05-01,2407.430493929695
2017-06-01,2410.788828428096
2017-07-01,2414.123108917472
2017-08-01,2414.5248580348525
2017-09-01,2414.1515376054235
2017-10-01,2411.8568497042725
2017-11-01,2412.1581662014187
2017-12-01,2416.4193942698826
2018-01-01,2422.805100352724
2018-02-01,2428.0099413362886
2018-03-01,2433.8112141164925
2018-04-01,2441.133588391446
2018-05-01,2446.747381294114
2018-06-01,2450.6879107742475
2018-07-01,2454.810949839222
2018-08-01,2461.253044671852
2018-09-01,2467.88574062425
2018-10-01,2474.062068477293
2018-11-01,2480.760545471243
2018-12-01,2486.995414782119
2019-01-01,2493.7526264069456
2019-02-01,2500.6866469275064
2019-03-01,2506.948940313013
2019-04-01,2512.327970299477
2019-05-01,2518.0527757919112
2019-06-01,2525.9347783585754
2019-07-01,2533.495773256011
2019-08-01,2541.2065496550267
2019-09-01,2549.131946306304
2019-10-01,2558.789259325772
2019-11-01,2566.5806776458267
2019-12-01,2574.2094907476453
2020-01-01,2581.1162067377427
2020-02-01,2589.3054567113168
2020-03-01,2556.0933752021383
2020-04-01,2523.952651160998
2020-05-01,2490.7405696518194
2020-06-01,2458.5998456106786
2020-07-01,2425.3877641015
2020-08-01,2392.1756825923217
2020-09-01,2360.0349585511813
2020-10-01,2326.822877042003
2020-11-01,2311.5245984554367
2020-12-01,2310.842737100266
2021-01-01,2314.685322823644
2021-02-01,2326.0421317860814
2021-03-01,2337.9662543333734
2021-04-01,2358.360939438113
2021-05-01,2388.8535057676395
2021-06-01,2428.655732405734
2021-07-01,2477.2021650450697
2021-08-01,2535.927504713744
2021-09-01,2596.7466583931537
2021-10-01,2650.362432872902
2021-11-01,2699.3763664479206
2021-12-01,2737.9996216720624
2022-01-01,2771.669876018487
2022-02-01,2796.981833122934
2022-03-01,2823.9290065718737
2022-04-01,2850.71432772002
2022-05-01,2881.759306421436
2022-06-01,2914.331338472326
2022-07-01,2944.515133092102
2022-08-01,2967.2183389509605
2022-09-01,2981.760828905109
2022-10-01,2990.02974576984
2022-11-01,2992.2432339577767
2022-12-01,2995.3693807156665
2023-01-01,3000.21204347226
2023-02-01,3007.844003959108
2023-03-01,3018.745393230411
2023-04-01,3034.626844800689
2023-05-01,3049.5073041848955
2023-06-01,3058.706784222549
2023-07-01,3063.8213968093205
2023-08-01,3070.22690528668
2023-09-01,3081.413316087277
2023-10-01,3092.4806948228666
2023-11-01,3098.7230863621344
2023-12-01,3106.744163649006
2024-01-01,3116.984417589218
2024-02-01,3129.8267408257693
2024-03-01,3141.782872034876
2024-04-01,3152.913894840671
2024-05-01,3164.970247814228
2024-06-01,3172.957558718043
2024-07-01,3174.7459058833438
2024-08-01,3176.401286441397
2024-09-01,3182.5290852393005
2024-10-01,3195.162293992097
2024-11-01,3212.6982280652
2024-12-01,3229.938612099665
2025-01-01,3245.1164521120195
2025-02-01,3258.020541740847
2025-03-01,3269.225486903289
2025-04-01,3278.0784129382755
2025-05-01,3285.458244112689
2025-06-01,3298.403296007404
2025-07-01,3318.815110685398
2025-08-01,3340.3023666730937
2025-09-01,3357.9344444619574
2025-10-01,3372.411184724939
